"","Tableau III-19 : Proportion des jeunes de 15-24 ans actuellement ni en emploi, ni en études, ni en formation","",""
"(NEET) par région selon le milieu de résidence et le sexe","","",""
"Région","Masculin","Féminin","Ensemble"
"DAKAR","28,0%","42,5%","35,6%"
"ZIGUINCHOR","33,8%","41,5%","37,4%"
"DIOURBEL","39,3%","61,9%","51,2%"
"SAINT-LOUIS","38,8%","58,3%","48,8%"
"TAMBACOUNDA","50,7%","69,1%","59,9%"
"KAOLACK","38,8%","57,5%","48,4%"
"THIES","31,2%","48,8%","40,1%"
"LOUGA","40,7%","63,6%","52,6%"
"FATICK","40,8%","52,3%","46,6%"
"KOLDA","44,3%","64,5%","54,3%"
"MATAM","55,9%","70,5%","63,3%"
"KAFFRINE","44,7%","64,8%","54,9%"
"KEDOUGOU","51,0%","69,5%","59,8%"
"SEDHIOU","45,1%","60,1%","52,3%"
"Total","38,0%","55,2%","46,8%"
"","Milieu de résidence","",""
"Urbain","31,8%","48,2%","40,3%"
"Rural","45,4%","64,5%","54,9%"
"Total","38,0%","55,2%","46,8%"
"Source: ANSD. RGPH-5, 2023","","",""
