"Région","Masculin","Féminin","Ensemble"
"DAKAR","26,5%","45,6%","36,4%"
"ZIGUINCHOR","35,7%","48,7%","41,9%"
"03 DIOURBEL","39,3%","67,1%","54,3%"
"SAINT-LOUIS","38,7%","63,1%","51,2%"
"TAMBACOUNDA","51,7%","72,8%","62,4%"
"KAOLACK","39,9%","63,4%","52,1%"
"THIES","30,9%","55,0%","43,1%"
"LOUGA","40,7%","68,8%","55,5%"
"FATICK","42,8%","59,4%","51,3%"
"KOLDA","46,3%","69,6%","58,0%"
"MATAM","57,1%","74,6%","66,0%"
"KAFFRINE","45,4%","69,1%","57,6%"
"KEDOUGOU","52,9%","73,5%","62,6%"
"SEDHIOU","48,0%","66,4%","57,1%"
"Total","37,9%","59,9%","49,2%"
"Milieu de résidence","","",""
"Urbain 
31,3% 
52,6% 
42,4%","","",""
"Rural 
46,3% 
69,7% 
58,2%","","",""
"Total 
37,9% 
59,9% 
49,2%","","",""
