"Situation par rapport à 
l'occupation","","Effectifs","","","","Pourcentage","","",""
"","","Milieu de 
résidence","Sexe","","Ensemble","Répartition (%)","","Ensemble 
(%)","Total 
(%)"
"","","","Masculin","Féminin","","Masculin","Féminin 
56,1","",""
"Inactifs","Femmes 
Occupées au 
foyer","Urbain","","1 020 580","1 020 580","","","56,1","19,7"
"","","Rural","","799 597","799 597","","43,9","43,9","15,4"
"","","Total","","1 820 177","1 820 177","","100,0","100,0","35,1"
"","Etudiants/élèves","Urbain","529 894","557 468","1 087 361","32,4","34,1","66,6","21,0"
"","","Rural","287 542","258 154","545 696","17,6","15,8","33,4","10,5"
"","","Total","817 436","815 622","1 633 057","50,1","49,9","100,0","31,5"
"","Rentiers","Urbain","75 849","38 605","114 455","37,0","18,8","55,8","2,2"
"","","Rural","63 723","26 762","90 485","31,1","13,1","44,2","1,7"
"","","Total","139 572","65 368","204 940","68,1","31,9","100,0","4,0"
"","Personne du 3e 
age pensionnée 
(FNR ou 
IPRES)","Urbain","67 993","26 200","94 194","55,6","21,4","77,0","1,8"
"","","Rural","18 571","9 532","28 103","15,2","7,8","23,0","0,5"
"","","Total","86 564","35 733","122 297","70,8","29,2","100,0","2,4"
"","Personne du 3e 
age non 
pensionnée","Urbain","84 322","103 792","188 114","24,0","29,6","53,6","3,6"
"","","Rural","77 377","85 451","162 828","22,0","24,3","46,4","3,1"
"","","Total","161 699","189 242","350 942","46,1","53,9","100,0","6,8"
"","Autres inactifs","Urbain","380 183","165 392","545 575","36,3","15,8","52,1","10,5"
"","","Rural","405 042","97 428","502 471","38,6","9,3","47,9","9,7"
"","","Total","785 225","262 821","1 048 046","74,9","25,1","100,0","20,2"
"Ensemble","","Urbain","1 138 242","1 912 038","3 050 280","22,0","36,9","58,9","58,9"
"","","Rural","852 255","1 276 925","2 129 179","16,5","24,7","41,1","41,1"
"","","Total","1 990 497","3 188 962","5 179 459","38,4","61,6","100,0","100,0"
