"Tableau III-23 : Répartition (%) de la population inactive par région selon le sexe en 2023","","","","","",""
"","Homme","","Femme","","","Ensemble"
"Région","","","","","",""
"","Effectif","%","Effectif","%","Effectif","%"
"Dakar","1 376 965","26,0","1 398 248","25,2","2 775 213","25,6"
"Ziguinchor","193 645","3,7","188 851","3,4","382 497","3,5"
"Diourbel","545 038","10,3","638 729","11,5","1 183 767","10,9"
"Saint-Louis","349 189","6,6","365 010","6,6","714 199","6,6"
"Tambacounda","266 606","5,0","271 777","4,9","538 383","5,0"
"Kaolack","354 696","6,7","384 097","6,9","738 793","6,8"
"Thiès","750 905","14,2","765 976","13,8","1 516 881","14,0"
"Louga","308 769","5,8","347 039","6,3","655 809","6,0"
"Fatick","241 939","4,6","261 221","4,7","503 160","4,6"
"Kolda","248 397","4,7","251 115","4,5","499 512","4,6"
"Matam","213 728","4,0","232 895","4,2","446 622","4,1"
"Kaffrine","214 899","4,1","222 979","4,0","437 878","4,0"
"Kédougou","75 479","1,4","64 271","1,2","139 751","1,3"
"Sédhiou","152 623","2,9","158 378","2,9","311 001","2,9"
"Total","5 292 880","100,0","5 550 587","100,0","10 843 467","100,0"
"Source: ANSD. RGPH-5, 2023","","","","","",""
