"Région","Urbain","","","","","","Rural","","","","","","Total","","","","",""
"","Masculin","","Féminin","","Ensemble","","Masculin","","Féminin","","Ensemble","","Masculin","","Féminin","","Ensemble",""
"DAKAR","13 059","21,1","8 101","20,3","21 160","20,8","","","","","","","13 059","6,0","8 101","5,7","21 160","5,9"
"ZIGUINCHOR","1 041","1,7","555","1,4","1 596","1,6","977","0,6","699","0,7","1 676","0,6","2 018","0,9","1 254","0,9","3 272","0,9"
"DIOURBEL","17 791","28,8","14 603","36,5","32 394","31,8","10 680","6,8","6 357","6,2","17 037","6,6","28 471","13,1","20 960","14,8","49 431","13,7"
"SAINT-LOUIS","3 179","5,1","1 420","3,5","4 599","4,5","9 824","6,3","5 430","5,3","15 254","5,9","13 003","6,0","6 850","4,8","19 853","5,5"
"TAMBACOUNDA","2 929","4,7","1 664","4,2","4 593","4,5","22 179","14,2","14 647","14,4","36 826","14,3","25 108","11,5","16 311","11,5","41 419","11,5"
"KAOLACK","3 564","5,8","2 302","5,8","5 866","5,8","16 198","10,4","11 638","11,4","27 836","10,8","19 762","9,1","13 939","9,8","33 701","9,4"
"THIES","7 849","12,7","4 076","10,2","11 925","11,7","12 244","7,8","7 084","7,0","19 328","7,5","20 094","9,2","11 160","7,9","31 253","8,7"
"LOUGA","2 315","3,7","1 648","4,1","3 963","3,9","18 495","11,8","10 243","10,1","28 738","11,1","20 810","9,6","11 891","8,4","32 701","9,1"
"FATICK","795","1,3","370","0,9","1 165","1,1","7 903","5,1","5 207","5,1","13 110","5,1","8 698","4,0","5 577","3,9","14 275","4,0"
"KOLDA","3 936","6,4","2 070","5,2","6 006","5,9","13 431","8,6","8 690","8,5","22 121","8,6","17 367","8,0","10 760","7,6","28 127","7,8"
"MATAM","2 433","3,9","1 359","3,4","3 791","3,7","12 017","7,7","7 509","7,4","19 526","7,6","14 450","6,6","8 868","6,3","23 317","6,5"
"KAFFRINE","1 168","1,9","829","2,1","1 997","2,0","21 549","13,8","16 713","16,4","38 262","14,8","22 717","10,4","17 542","12,4","40 259","11,2"
"KEDOUGOU","565","0,9","256","0,6","822","0,8","2 291","1,5","1 565","1,5","3 856","1,5","2 856","1,3","1 821","1,3","4 678","1,3"
"SEDHIOU","1 131","1,8","751","1,9","1 881","1,8","8 339","5,3","6 012","5,9","14 351","5,6","9 470","4,3","6 762","4,8","16 232","4,5"
"Total","61 755","100,0","40 002","100,0","101 757","100,0","156 127","100,0","101 794","100,0","257 921","100,0","217 882","100,0","141 796","100,0","359 678","100,0"
