"","Tableau III-28 : Répartition (%) des enfants occupés par statut de fréquentation scolaire selon le milieu de","","","","","","","","","","","","","","","","",""
"résidence et le sexe","","","","","","","","","","","","","","","","","",""
"","","","","Urbain","","","","","Rural","","","","","","Total","","",""
"Fréquentation","","","","","","","","","","","","","","","","","",""
"scolaire","","","","","","","","","","","","","","","","","",""
"","","Masculin","Féminin","","Ensemble","","Masculin","","Féminin","","Ensemble","","Masculin","","Féminin","","Ensemble",""
"non, n'a","","","","","","","","","","","","","","","","","",""
"jamais","30 660","49,6","21 265","53,2","51 925","51,0","99 126","63,5","65 554","64,4","164 680","63,8","129 785","59,6","86 820","61,2","216 605","60,2"
"fréquenté","","","","","","","","","","","","","","","","","",""
"oui, a","","","","","","","","","","","","","","","","","",""
"","26 296","42,6","15 007","37,5","41 303","40,6","41 922","26,9","25 939","25,5","67 861","26,3","68 218","31,3","40 945","28,9","109 163","30,4"
"fréquenté","","","","","","","","","","","","","","","","","",""
"oui, fréquente","","","","","","","","","","","","","","","","","",""
"","4 799","7,8","3 730","9,3","8 530","8,4","15 079","9,7","10 301","10,1","25 380","9,8","19 878","9,1","14 031","9,9","33 909","9,4"
"actuellement","","","","","","","","","","","","","","","","","",""
"Total","61 755","100,0","40 002","100,0","101 757","100,0","156 127","100,0","101 794","100,0","257 921","100,0","217 882","100,0","141 796","100,0","359 678","100,0"
"","Source: ANSD. RGPH-5, 2023","","","","","","","","","","","","","","","","",""
