"","Coordination technique nationale"
"Abdou DIOUF","Directeur technique Comité technique de Conception et d’Exécution (CTCE)"
"Jean Pierre Diamane BAHOUM","Coordonnateur Unité de Mise en Œuvre du RGPH-5, 2023"
"Papa Ibrahima Sylmang SENE","Conseiller technique du CTCE"
"Atoumane FALL","Coordinateur du Comité de veille et d’Assurance qualité"
"Ndeye Lala TRAVARE","Chef section conception, analyse et projections démographiques"
"Papa Mabeye DIOP","Chef section cartographie censitaire et opérations de terrain"
"Bourama MANE","Chef section informatique, traitement, sécurisation des bases de données"
"Awa DIOP","Chef section sensibilisation et communication"
"Aliou SEYE","Chef section ressources humaines"
"Jean Rodrigue MALOU","Chef section coordination des activités régionales"
"Babacar  SEYE","Chef section finances et comptabilité"
"Penda AMAR","Chef section administration et logistique"
"El Hadji Malick GUEYE","Chef de section documentation, diffusion et archivage"
"Moussa NDOYE","Chef section contrôle de gestion"
"Fatou DIOUF","Chef section marché"
"El Hadji Amara DOUMBOUYA","Chef section audit interne"
"Seydou DIENG","Chef section régie d’avances"
