"Tableau III-291 : Taux d’occupation des enfants de 6-14 ans par statut de fréquentation scolaire selon le","","","","","","","","",""
"","milieu de résidence et le sexe","","","","","","","",""
"","","Urbain","","","Rural","","","Total",""
"Fréquentation","","","","","","","","",""
"scolaire","","","","","","","","",""
"","","Masculin  Féminin  Ensemble  Masculin  Féminin  Ensemble  Masculin  Féminin  Ensemble","","","","","","",""
"non, n'a jamais","","","","","","","","",""
"","25,0","17,1","21,1","30,2","22,0","26,3","28,8","20,6","24,8"
"fréquenté","","","","","","","","",""
"oui, a fréquenté","10,7","6,4","8,6","17,2","11,8","14,6","14,0","9,0","11,6"
"oui, fréquente","","","","","","","","",""
"","0,8","0,6","0,7","2,7","2,0","2,4","1,7","1,2","1,5"
"actuellement","","","","","","","","",""
"Total","6,3","4,1","5,2","13,9","9,7","11,9","10,4","7,0","8,7"
"Source: ANSD. RGPH-5, 2023","","","","","","","","",""
