"Milieu de résidence 
Activités économiques 
Urbain 
Rural 
Total 
Effectif 
% 
Effectif 
% 
Effectif 
%","","","","","",""
"","","","","","",""
"","","","","","",""
"Branche d’activités","","","","","",""
"Agriculture","244 173","10,0%","773 004","55,2%","1 017 177","26,5%"
"Elevage","42 891","1,8%","147 845","10,6%","190 737","5,0%"
"Sylviculture","5 245","0,2%","5 218","0,4%","10 463","0,3%"
"Pêche et Aquaculture","64 339","2,6%","17 412","1,2%","81 751","2,1%"
"Activités extractives","79 943","3,3%","21 352","1,5%","101 296","2,6%"
"Agroalimentaire","59 738","2,4%","13 552","1,0%","73 289","1,9%"
"Raffinage du pétrole","546","0,0%","52","0,0%","597","0,0%"
"Produits chimiques de base","1 573","0,1%","260","0,0%","1 833","0,0%"
"Matériaux de construction","18 320","0,7%","5 962","0,4%","24 282","0,6%"
"Autres industries manufacturières","203 984","8,3%","32 418","2,3%","236 402","6,1%"
"Production et Distribution d’électricité","4 555","0,2%","620","0,0%","5 175","0,1%"
"Production et Distribution d’eau","4 750","0,2%","640","0,0%","5 390","0,1%"
"Construction bâtiment et génie civil","138 678","5,7%","36 002","2,6%","174 680","4,5%"
"Commerce","479 167","19,6%","80 769","5,8%","559 936","14,6%"
"Transport et Entreposage","142 401","5,8%","48 446","3,5%","190 847","5,0%"
"Hébergement et Restauration","33 125","1,4%","3 187","0,2%","36 312","0,9%"
"Information et Communication","24 162","1,0%","1 618","0,1%","25 780","0,7%"
"Activités financières d’assurance","36 071","1,5%","3 344","0,2%","39 415","1,0%"
"Activités immobilières","10 496","0,4%","1 410","0,1%","11 905","0,3%"
"Services spécialisés scientifiques et techniques","10 767","0,4%","1 640","0,1%","12 407","0,3%"
"Services de soutien aux activités de bureau","25 866","1,1%","2 767","0,2%","28 633","0,7%"
"Administration publique","39 298","1,6%","4 074","0,3%","43 372","1,1%"
"Enseignement","106 212","4,3%","29 345","2,1%","135 557","3,5%"
"Santé et Action sociale","80 673","3,3%","21 672","1,5%","102 345","2,7%"
"Activités à caractère collectif ou personnel","30 405","1,2%","4 154","0,3%","34 559","0,9%"
"Services domestiques","142 989","5,9%","67 538","4,8%","210 527","5,5%"
"Autres services","362 748","14,8%","65 299","4,7%","428 047","11,1%"
"Correction territoriale","50 500","2,1%","11 501","0,8%","62 001","1,6%"
"Total","2 443 614","","100,0%  1 401 101  100,0%  3 844 715  100,0%","","",""
"Secteur institutionnel","","","","","",""
"Public 
729 036 
29,8% 
540 254 
38,6% 
1 269 291 
33,0%","","","","","",""
"Privé formel 
474 342 
19,4% 
184 563 
13,2% 
658 905 
17,1%","","","","","",""
"Informel 
1 234 773 
50,5% 
673 036 
48,0% 
1 907 809 
49,6%","","","","","",""
"ISBLSM (ONG, ASC, Fondations, etc.) 
5 462 
0,2% 
3 248 
0,2% 
8 710 
0,2%","","","","","",""
"Total 
2 443 614 
100,0%  1 401 101  100,0%  3 844 715  100,0%","","","","","",""
