"","Tableau III-32 : Répartition de la population active occupée par branche d’activité","",""
"CODE","ACTIVITE","EFFECTIFS","POURCENTAGES"
"A00010","Culture de céréales","805 594","19,6"
"A00020","Culture de Tubercules et légumes à cosse sec","21 781","0,5"
"A00030","Culture de légumes et épices","61 398","1,5"
"A00040","Culture de fruits, plantes et fleurs, pépinières, plantes pour boisson","23 662","0,6"
"A00050","Arachide et autres oléagineux (sauf graine de coton)","109 114","2,6"
"A00060","Culture du coton graine","6 094","0,1"
"A00070","Autres produits agricoles et activités de soutien","112 762","2,7"
"B00010","Elevage de bovins, ovins, caprins","123 378","3,0"
"B00020","Elevage de volaille","35 554","0,9"
"B00030","Elevage d'animaux NCA","28 551","0,7"
"B00040","Chasse et activités annexes","3 370","0,1"
"B00050","Activités de soutien à l'élevage","20 960","0,5"
"C00010","Exploitation forestière","5 812","0,1"
"C00020","Cueillette et activités forestières","2 411","0,1"
"C00030","Activités forestières de soutien","3 502","0,1"
"D00010","Pêche","82 471","2,0"
"D00020","Aquaculture, pisciculture","2 755","0,1"
"E00010","Extraction de phosphates naturels","1 855","0,0"
"E00020","Extraction de minerais métalliques","14 384","0,3"
"E00030","Extraction d'hydrocarbure","1 989","0,0"
"E00040","Autres extractions","84 825","2,1"
"E00050","Activités de soutien aux industries extractives","6 154","0,1"
"F00010","Abattage, transformation, et conservation des viandes","4 151","0,1"
"F00020","Transformation et conservation des poissons, crustacés et mollusques","9 616","0,2"
"F00030","Fabrication de corps gras alimentaires","3 576","0,1"
"F00040","Travail des grains","9 741","0,2"
"F00050","Fabrication d'aliments pour animaux","1 987","0,0"
"F00060","Fabrication de pain et de pâtisseries","20 906","0,5"
"F00070","Fabrication de produits alimentaires à base de céréales n.c.a.","5 762","0,1"
"F00080","Conserves de fruits et légumes","4 319","0,1"
"F00090","Fabrication de produits laitiers et de glaces alimentaires","3 434","0,1"
"F00100","Fabrication de sucre, chocolaterie et confiserie","3 187","0,1"
"F00110","Fabrication d'autres produits alimentaires","8 218","0,2"
"F00120","Fabrication de boissons","2 761","0,1"
"F00130","Fabrication de produits à base de tabac","479","0,0"
"G00000","Raffinage pétrolier et cokéfaction","635","0,0"
"H00000","Fabrication de produits chimiques de base","1 959","0,0"
"I00000","Fabrication de ciment et autres matériaux de construction","25 770","0,6"
"J00010","Production de l'égrenage du coton","714","0,0"
"J00020","Production de la filature, du tissage et de l'ennoblissement textile","16 612","0,4"
"J00030","Fabrication d'articles d'habillement","86 271","2,1"
"J00040","Travail du cuir, fabrication d'articles de voyage et de chaussures","11 278","0,3"
