"CODE","ACTIVITE","EFFECTIFS","POURCENTAGES"
"J00050","Sciage et rabotage du bois","16 947","0,4"
"J00060","Fabrication de papier cartons et d'articles en papier ou carton","2 469","0,1"
"J00070","Imprimerie et activités annexes","2 971","0,1"
"J00080","Reproduction d'enregistrements","1 089","0,0"
"J00090","Fabrication de produits pharmaceutiques","3 980","0,1"
"J00100","Fabrication de savons, détergents et produits d'entretien","2 423","0,1"
"J00110","Fabrication d'autres produits chimiques","1 765","0,0"
"J00120","Travail du caoutchouc et du plastique","2 999","0,1"
"J00130","Production de métallurgie et de fonderie ; fabrication d'ouvrage en métaux","28 409","0,7"
"J00140","Fabrication de produits électroniques et informatiques","3 916","0,1"
"J00150","Fabrication d'équipements électriques","7 022","0,2"
"J00160","Fabrication de machines et matériels divers à usage général","4 412","0,1"
"J00170","Fabrication de machines et matériels divers à usage spécifique","2 280","0,1"
"J00180","Construction de véhicules automobiles et composants","11 540","0,3"
"J00190","Fabrication d'autres matériels de transports","4 103","0,1"
"J00200","Fabrication de meubles et matelas","17 833","0,4"
"J00210","Autres industries manufacturières","8 463","0,2"
"J00220","Installation et réparation de machines et d'équipements","8 328","0,2"
"K00010","Production et distribution d'électricité, de gaz et de supports énergétiques","5 341","0,1"
"L00010","Captage, traitement et distribution d'eau","2 368","0,1"
"L00020","Collecte et traitement des eaux usées, récupération des déchets","3 268","0,1"
"M00010","Construction de bâtiments et travaux de construction","140 279","3,4"
"M00020","Génie civil","10 186","0,2"
"M00030","Activités spécialisées de construction","30 902","0,8"
"N00010","Commerce et réparation d'automobiles et de motocycles","36 225","0,9"
"N00020","Commerce de gros","59 318","1,4"
"N00030","Commerce de détail","484 069","11,8"
"O00010","Transports ferroviaires","1 813","0,0"
"O00020","Transports routiers","180 012","4,4"
"O00030","Transports par eau","3 058","0,1"
"O00040","Transports aériens","2 150","0,1"
"O00050","Entreposage et activités des auxiliaires de transport","7 388","0,2"
"O00060","Activités de poste et de courrier","4 839","0,1"
"P00010","Hôtel et Hébergement","8 341","0,2"
"P00020","Restauration et débits de boisson","29 527","0,7"
"Q00010","Edition","1 595","0,0"
"Q00020","Production audio et vidéo : télévision, cinéma et son","3 392","0,1"
"Q00030","Programmation télévisuelle ; radiodiffusion","1 278","0,0"
"Q00040","Télécommunications","11 602","0,3"
"Q00050","Activités informatiques : conseil, programmation","7 291","0,2"
"Q00060","Activités de fournitures d'information","1 962","0,0"
"R00010","Activités financières","30 745","0,7"
"R00020","Assurances","6 210","0,2"
"R00030","Activités des auxiliaires financiers et d'assurance","3 996","0,1"
"S00000","Activités immobilières","12 477","0,3"
"T00010","Recherche-développement et Prospection minière pour compte propre","3 107","0,1"
