"CODE","ACTIVITE","EFFECTIFS","POURCENTAGES"
"T00020","Activités vétérinaires","982","0,0"
"T00030","Autres activités spécialisées scientifiques et techniques","8 922","0,2"
"U00010","Location et location-bail","1 312","0,0"
"U00020","Activités des agences de réservation et voyagistes","4 882","0,1"
"U00030","Activités d'Enquêtes et de sécurité","14 993","0,4"
"U00040","Autres activités de soutien aux entreprises, activités de bureau","8 687","0,2"
"V00000","Activités d'administration publique","44 618","1,1"
"W00000","Enseignement","138 985","3,4"
"X00010","Activités pour la santé humaine","42 414","1,0"
"X00020","Action sociale","67 501","1,6"
"Y00000","Activités artistiques, culturelles, sportives et récréatives","35 874","0,9"
"Z00000","Activités domestiques","226 285","5,5"
"ZA0000","Autres activités NCA","452 062","11,0"
"ZB0000","Extra – territorialité","66 812","1,6"
"Total","","4 117 768","100,0"
