"","Définition des sigles"
"ANSD   : Agence Nationale de la Statistique et de la Démographie",""
"BIT",": Bureau International du Travail"
"CNEE   : Convention Nationale État/Employeurs",""
"ENES   : Enquête Nationale sur l’Emploi au Sénégal",""
"INSEE  : Institut National de la Statistique et des Etudes Economiques",""
"ODD",": Objectif du Développement Durable"
"OIT",": Organisation International du Travail"
"PNE",": Politique Nationale de l’Emploi"
"","PRODAC : Programmes de fermes et de Domaines Agricoles Communautaires"
"PSE : Plan Sénégal Emergent",""
"RGPH  : Recensement Général de la Population et de l’Habitat",""
"ISBLSM : Institutions sans But lucratif au Service des ménages",""
