"","Principaux indicateurs","",""
"Intitulé de l'indicateur","","Niveau de l'indicateur",""
"Caractéristiques économiques de la population","Urbain","Rural","National"
"Taux  d’activité des 15 ans ou plus (%)","","",""
"Ensemble","52,0%","52,6%","52,2%"
"Homme","63,1%","41,4%","62,4%"
"Femme","44,2%","61,3%","42,5%"
"Taux d’occupation des 15-60 ans (%)","","",""
"Ensemble","38,5%","26,8%","33,7%"
"Homme","53,7%","40,3%","48,2%"
"Femme","24,1%","13,7%","19,8%"
"Taux d’inactivité des 15 ans ou plus (%)","","",""
"Ensemble","48,0%","47,4%","47,8%"
"Homme","36,9%","38,7%","37,6%"
"Femme","58,6%","55,8%","57,5%"
"Taux d’occupation des enfants de 6-14 ans (%)","","",""
"Ensemble","5,2%","11,9%","8,7%"
"Homme","6,3%","13,9%","10,4%"
"Femme","4,1%","9,7%","7,0%"
"Pourcentage des jeunes de 15-24 ans ni en emploi, ni","","",""
"en études, ni en formation (NEET)","","",""
"Ensemble","40,3%","54,9%","46,8%"
"Homme","31,8%","45,4%","38,0%"
"Femme","48,2%","64,5%","55,2%"
"Emploi par macro secteur (primaire, secondaire, tertiaire)","","",""
"Primaire","14,6%","67,3%","33,8%"
"Secondaire","21,0%","7,9%","16,2%"
"Tertiaire","64,4%","24,7%","50,0%"
"Emploi par secteur institutionnel","","",""
"Public","29,8%","38,6%","33,0%"
"Privé formel","19,4%","13,2%","17,1%"
"Informel","50,5%","48,0%","49,6%"
"ISBLSM","0,2%","0,2%","0,2%"
