"Groupes 
d'âges","Taux de non réponses par variables","",""
"","Nombre de naissances 
totales selon les 
groupes d'âges","Nombre de naissances 
totales survivantes selon les 
groupes d'âges","Nombre de naissances vivantes 
au cours des 12 derniers mois 
selon les groupes d'âges"
"10 à 14 ans","0,047","0,049","0,01"
"15 à 19 ans","0,046","0,048","0,11"
"20 à 24 ans","0,046","0,048","0,64"
"25 à 29 ans","0,038","0,040","1,13"
"30 à 34 ans","0,035","0,036","1,41"
"35 à 39 ans","0,029","0,031","1,53"
"40 à 44 ans","0,022","0,022","1,21"
"45 à 49 ans","0,016","0,017","0,70"
"50 à 54 ans","0,015","0,015","0,28"
"55 à 59 ans","0,010","0,011","-"
"60 à 64 ans","0,010","0,010","-"
"65 à 69 ans","0,007","0,007","-"
"70 à 74 ans","0,005","0,005","-"
"75 à 79 ans","0,002","0,002","-"
"80 à 84 ans","0,002","0,002","-"
"85 à 89 ans","0,001","0,001","-"
"90 à 94 ans","-","-","-"
"95 ans et plus","-","-","-"
