"Age","ESF","EDSI","EDSII","EDSIII","RGPH03","EDSIV","EDS MICS","EDS 
Continue","RGPHAE","EDS Continue","","","","","","RGPH-5"
"","1978","1986","1992","1997","2002","2005","2010/2011","2012/13","2013","2014 
2015 
2016 
2017 
2018 
2019","","","","","","2023"
"Taux ( ‰) de fécondité par âge","","","","","","","","","","","","","","","",""
"15-19","189","154","127","103","116","101","93","80","78","90","80","72","78","68","71","52"
"20-24","304","270","250","219","216","212","201","210","181","195","189","192","177","178","185","151"
"25-29","332","271","266","240","245","250","241","246","227","240","226","230","214","214","228","185"
"30-34","265","261","244","245","216","228","219","223","216","210","213","197","206","181","195","178"
"35-39","197","196","185","186","158","169","156","184","176","155","164","145","146","147","171","147"
"40-44","108","89","99","99","76","74","73","97","98","96","83","77","79","67","74","86"
"45-49","34","36","34","34","28","22","13","19","53","20","16","22","24","15","21","45"
"ISF","","","","","","","","","","","","","","","",""
"Urbain","6,5","5,4","5,1","5,1","4,2","4,1","3,9","4,1","4,1","4","3,5","3,5","3,4","5,5","3,8","3,5"
"Rural","7,5","7,1","6,7","6,7","6,1","6,4","6","6,3","6,2","6,3","6,1","5,9","5,9","3,2","5,6","5,4"
"National","7,1","6,4","6","6","5,3","5,3","5","5,3","5,1","5","4,9","4,7","4,6","4,4","4,7","4,2"
