"Age","Urbain","","","Rural","","","Ensemble","",""
"","Effectifs 
des 
adolescent
es","Effectifs des 
adolescente
s mères","Proportion des 
adolescentes 
mères","Effectifs des 
adolescentes","Effectifs des 
adolescentes 
mères","Proportion 
des 
adolescentes 
mères","Effectifs des 
adolescentes","Effectifs des 
adolescentes 
mères","Proportion des 
adolescentes 
mères"
"10","117 254","786","0,7","136 300","1 472","1,1","253 554","2 258","0,9"
"11","94 894","603","0,6","90 638","852","0,9","185 533","1 454","0,8"
"12","114 949","841","0,7","121 324","1 496","1,2","236 273","2 337","1,0"
"13","116 054","918","0,8","110 235","1 684","1,5","226 289","2 602","1,1"
"14","109 485","1 246","1,1","103 386","2 657","2,6","212 871","3 903","1,8"
"15","121 886","2 517","2,1","111 618","6 222","5,6","233 504","8 739","3,7"
"16","110 535","3 772","3,4","92 163","8 585","9,3","202 698","12 356","6,1"
"17","111 063","6 757","6,1","84 912","13 794","16,2","195 975","20 551","10,5"
"18","119 944","12 404","10,3","102 816","26 687","26,0","222 760","39 092","17,5"
"19","105 569","16 418","15,6","74 503","25 351","34,0","180 072","41 769","23,2"
"10-14 ans","552 636","4 394","0,8","561 883","8 161","1,5","1 114 520","12 554","1,1"
"15-19 ans","568 997","41 868","7,4","466 012","80 639","17,3","1 035 009","122 507","11,8"
"10-19 ans","1 121 633","46 262","4,1","1 027 895","88 800","8,6","2 149 529","135 061","6,3"
