"Région","Groupe d'âge","",""
"","10-14 ans","15-19 ans10","10-19 ans"
"DAKAR","1,1","22,7","11,3"
"ZIGUINCHOR","3,6","39,9","19,7"
"DIOURBEL","5,3","52,8","26,9"
"SAINT LOUIS","2,8","50,0","24,2"
"TAMBACOUNDA","8,5","89,9","47,0"
"KAOLACK","5,2","67,1","34,5"
"THIES","1,8","34,2","15,2"
"LOUGA","4,5","61,0","28,9"
"FATICK","3,8","57,8","26,8"
"KOLDA","4,8","91,1","43,5"
"MATAM","4,9","72,1","36,5"
"KAFFRINE","6,1","90,5","43,4"
"KEDOUGOU","9,0","97,1","55,9"
"SEDHIOU","6,7","72,5","35,3"
"SENEGAL","4,0","52,0","26,6"
