"Groupe 
d'âge","Urbain","","","Rural","","","Sénégal","",""
"","Effectif de 
femmes 
ayant eu au 
moins 6 
enfants","Effectif de 
femmes ayant 
eu au moins 6 
enfants et qui 
ont une 
naissance au 
cours des 12 
derniers mois","Proportion de 
femmes ayant 
eu naissance 
au moins une 
naissance au 
cours des 12 
derniers mois","Effectif de 
femmes ayant 
eu au moins 6 
enfants","Effectif de 
femmes ayant 
eu au moins 6 
enfants et qui 
ont une 
naissance au 
cours des 12 
derniers mois","Proportion de 
femmes ayant 
eu naissance 
au moins une 
naissance au 
cours des 12 
derniers mois","Effectif de 
femmes 
ayant eu au 
moins 6 
enfants","Effectif de femmes 
ayant eu au moins 
6 enfants et qui ont 
une naissance au 
cours des 12 
derniers mois","Proportion de 
femmes ayant 
eu naissance 
au moins une 
naissance au 
cours des 12 
derniers mois"
"10-14 ans","0","0","-","0","0","-","0","0","-"
"15-19 ans","0","0","-","0","0","-","0","0","-"
"20-24 ans","1 914","178","9,3","5 411","684","13,0","7 325","862","12,0"
"25-29 ans","6 132","717","12,0","19 391","2 861","15,0","25 523","3 578","14,0"
"30-34 ans","19 631","2 180","11,1","47 601","7 292","15,3","67 232","9 472","14,1"
"35-39 ans","38 764","3 877","10,0","71 128","9 769","14,0","109 892","13 646","12,4"
"40-44 ans","46 105","2 664","6,0","64 179","5 682","9,1","110 284","8 346","8,0"
"45-49 ans","46 000","1 062","2,3","58 333","2 505","4,3","104 333","3 567","3,4"
"50-54 ans","47 113","726","2,0","56 400","1 597","2,8","103 513","2 323","2,2"
"Ensemble","205 659","11 404","6,0","322 443","30 390","9,4","528 102","41 794","8,0"
