"REGION","DECLARATION A L'ETAT CIVIL","","","","Total"
"","Bulletin de naissance","Jugement supplétif  Aucun","","NSP",""
"DAKAR","89,2","4,6","1,1","5,1","100,0"
"ZIGUINCHOR","67,7","24,4","1,0","6,8","100,0"
"DIOURBEL","54,4","16,7","8,4","20,5","100,0"
"SAINT LOUIS","64,7","15,7","6,1","13,5","100,0"
"TAMBACOUNDA","50,0","16,9","11,0","22,2","100,0"
"KAOLACK","64,7","14,8","5,1","15,4","100,0"
"THIES","75,7","10,7","2,8","10,7","100,0"
"LOUGA","54,7","17,8","9,8","17,8","100,0"
"FATICK","62,7","18,8","4,5","14,1","100,0"
"KOLDA","53,1","22,7","7,3","16,9","100,0"
"MATAM","51,1","21,7","9,5","17,6","100,0"
"KAFFRINE","49,6","21,2","8,8","20,3","100,0"
"KEDOUGOU","64,3","13,5","4,0","18,2","100,0"
"SEDHIOU","49,9","25,2","6,9","17,9","100,0"
"SENEGAL","66,7","14,4","5,3","13,6","100,0"
