"Niveau 
d'instruction","Acte de naissance","","","","","","","","",""
"","Effectif 
%","","Effectif 
%","","Effectif 
%","","Effectif 
%","","Effectif 
%",""
"","Bulletin de 
naissance","","Jugement supplétif","","Aucun","","NSP","","Ensemble",""
"Aucun","4 464 952","55,3","1 450 419","18,0","596 189","7,4","1 561 724","19,3","8 073 283","100,0"
"Préscolaire","410 232","75,5","45 505","8,4","23 147","4,3","64 399","11,9","543 282","100,0"
"Elémentaire","2 984 215","69,3","514 822","12,0","210 683","4,9","597 810","13,9","4 307 530","100,0"
"Moyen","1 547 016","84,8","277 456","15,2","-","-","-","-","1 824 472","100,0"
"Secondaire","852 412","85,7","141 759","14,3","-","-","-","-","994 171","100,0"
"Supérieur","620 853","89,9","69 369","10,1","-","-","-","-","690 221","100,0"
"Alphabétisation  en français","","","","","","","","","",""
"Non 
7 654 455 
60,9 
1 845 611 
14,7 
877 894 
7,0 
2 182 063 
17,4 
12 560 023 
100,0","","","","","","","","","",""
"Oui 
4 139 964 
80,8 
701 278 
13,7 
60 440 
1,2 
221 334 
4,3 
5 123 016 
100,0","","","","","","","","","",""
"Ensemble 
11 794 419 
66,7 
2 546 889 
14,4 
938 334 
5,3 
2 403 397 
13,6 
17 683 038 
100,0","","","","","","","","","",""
