"REGION","MILIEU DE RESIDENCE","","","","",""
"","Urbain","","Rural","","ENSEMBLE",""
"","Inféconde 
initiale","Inféconde 
totale","Inféconde 
initiale","Inféconde 
totale","Inféconde 
initiale","Inféconde 
totale"
"Dakar","51,7","10,00","-","-","51,7","10,0"
"Ziguinchor","46,5","7,7","40,5","9,7","44,1","8,7"
"Diourbel","45,1","9,3","38,4","6,4","43,0","8,4"
"Saint-Louis","46,8","8,4","39,0","6,8","42,7","7,6"
"Tambacounda","45,1","9,5","40,0","7,9","37,2","8,3"
"Kaolack","46,6","8,5","36,2","5,6","40,5","6,9"
"Thiès","48,6","8,3","43,3","6,6","46,4","7,6"
"Louga","50,3","9,0","38,0","7,8","41,6","8,1"
"Fatick","46,3","7,8","39,2","5,5","40,9","6,1"
"Kolda","40,4","6,4","28,98","5,7","33,4","5,9"
"Matam","46,1","9,4","39,4","8,1","41,5","8,5"
"Kaffrine","45,9","7,4","34,1","5,7","36,2","6,0"
"Kédougou","37,8","8,5","30,9","8,7","33,2","8,64"
"Sédhiou","44,5","7,7","37,1","8,3","38,9","8,16"
"Sénégal","48,6","9,2","37,4","6,9","44,0","8,2"
