"Intitulé de l'indicateur","Niveau de l'indicateur","",""
"Fécondité et Natalité","Urbain","Rural","National"
"Taux (‰) Brut de Natalité (TBN)","26,2","36,7","31,0"
"Taux (‰) global de fécondité générale (TGFG)","94,0","157,4","120,3"
"Nombre moyen d’enfants nés vivants par femme (ISF)","3,5 enfants","5,4 enfants","4,2 enfants"
"Taux (‰) de fécondité des adolescentes de 10 - 19 ans","16,4","37,7","26,6"
"Taux (‰) de fécondité des adolescentes de 15 - 19 ans","33,0","78,0","53,0"
"Prévalence (%) de l'infécondité de l'ensemble des femmes","46,8","39,7","43,7"
"Prévalence (%) de l’infécondité des adolescentes de 10 - 19 ans","95,9","91,3","93,7"
"Prévalence (%) de l'infécondité des adolescentes de 15 - 19 ans","92,7","82,6","82,2"
"Prévalence (%) de l’infécondité initiale","48,6","37,4","44,0"
"Prévalence (%) de l’infécondité totale","9,2","6,9","8,2"
"Age moyen à la maternité","31,8 ans","31,1 ans","31,4 ans"
