"","migratoires absolus et relatifs négatifs les plus élevés.","","","",""
"Graphique VI-1: Bilan ou solde de la migration (durée de vie)  par région","","","","",""
"Dakar","","","","","20,7"
"Diourbel","","","","4",""
"Thiès","","","1,1","",""
"Tambacounda","","-2,9","","",""
"Kedougou","","-3,6","","",""
"Matam","","-4,5","","",""
"Kolda","","-6,1","","",""
"Kaffrine","","-6,2","","",""
"Saint-Louis","","-6,6","","",""
"Sedhiou","-10,1","","","",""
"Kaolack","-12","","","",""
"Fatick","-13,5","","","",""
"Louga","-15,5","","","",""
"Ziguinchor
-22,7","","","","",""
