"plus élevées.","","","","","","",""
"","Tableau VI-6 : Les indices d’entrée et de sortie il y a 5 ans par région","","","","","",""
"","","Natifs","","","Répartition","",""
"","","","","Indices","","","Indices de"
"Région","Résidents","Résidents","Entrées","","entrée par","Sorties",""
"","","","","d'entrée","","","sortie"
"","","Non Migrants","","","région(%)","",""
"Dakar","3 493 743","3 328 008","165 735","4,7","29,8","81 141","2,4"
"Ziguinchor","533 661","516 593","17 069","3,2","3,1","38 051","6,9"
"Diourbel","1 738 431","1 602 137","136 294","7,8","24,5","51 233","3,1"
"Saint-Louis","1 022 897","1 004 912","17 985","1,8","3,2","26 327","2,6"
"Tambacounda","826 433","808 186","18 247","2,2","3,3","20 879","2,5"
"Kaolack","1 111 638","1 084 421","27 217","2,4","4,9","63 913","5,6"
"Thiès","2 115 497","2 039 135","76 362","3,6","13,7","72 843","3,4"
"Louga","959 648","938 802","20 846","2,2","3,7","59 983","6,0"
"Fatick","766 326","744 735","21 592","2,8","3,9","33 593","4,3"
"Kolda","773 892","761 834","12 059","1,6","2,2","34 235","4,3"
"Matam","679 796","665 008","14 788","2,2","2,7","15 997","2,3"
"Kaffrine","679 677","666 032","13 645","2,0","2,5","27 588","4,0"
"Kédougou","202 443","198 526","3 916","1,9","0,7","6 423","3,1"
"Sédhiou","492 650","482 307","10 343","2,1","1,9","23 892","4,7"
"Total","15 396 732","14 840 636","556 097","-","100,0","556 097","-"
"Source: ANSD. RGPH-5, 2023","","","","","","",""
