"Régions","Migrants durée de vie, RGPH-5 de 2023","","","","","",""
"","Entrées","","Sorties","","Solde 
migratoire 
EFFECTIF","Migration totale (Volume total)",""
"","EFFECTIF","Pourcentage 
(1)","EFFECTIF","Pourcentage 
(2)","","EFFECTIF 
TOTAL","% EFFECTIF 
TOTAL"
"Dakar","1 020 599","46,9","241 854","11,1","778 746","1 262 453","58,1"
"Ziguinchor","67 461","3,1","201 634","9,3","-134 173","269 095","12,4"
"Diourbel","307 716","14,2","227 845","10,5","79 870","535 561","24,6"
"Saint-Louis","63 411","2,9","140 255","6,4","-76 844","203 665","9,4"
"Tambacounda","48 704","2,2","76 216","3,5","-27 511","124 920","5,7"
"Kaolack","78 807","3,6","232 846","10,7","-154 039","311 653","14,3"
"Thiès","324 288","14,9","297 392","13,7","26 896","621 679","28,6"
"Louga","56 492","2,6","225 994","10,4","-169 502","282 486","13,0"
"Fatick","63 737","2,9","183 282","8,4","-119 544","247 019","11,4"
"Kolda","41 505","1,9","95 614","4,4","-54 109","137 118","6,3"
"Matam","32 306","1,5","67 800","3,1","-35 495","100 106","4,6"
"Kaffrine","31 283","1,4","80 171","3,7","-48 888","111 454","5,1"
"Kédougou","10 437","0,5","18 316","0,8","-7 879","28 753","1,3"
"Sédhiou","27 869","1,3","85 397","3,9","-57 529","113 266","5,2"
"Total","2 174 615","100,0","2 174 615","100,0","0","///","///"
