"","ajoute la région de Ziguinchor avec un solde relatif de -3,9%.","","","","","","",""
"Graphique VI-2: Bilan ou solde de la migration il y a 5 ans par région","","","","","","","",""
"Diourbel","","","","","","","","4,9"
"Dakar","","","","","","","2,4",""
"Thiès","","","","","","0,2","",""
"Matam","","","","","-0,2","","",""
"Tambacounda","","","","","-0,3","","",""
"Saint-Louis","","","","-0,8","","","",""
"Kédougou","","","","-1,2","","","",""
"Fatick","","","","-1,6","","","",""
"Kaffrine","","","-2,1","","","","",""
"Sédhiou","","-2,8","","","","","",""
"Kolda","","-2,9","","","","","",""
"Kaolack","","-3,3","","","","","",""
"Ziguinchor","-3,9","","","","","","",""
"Louga","-4,1","","","","","","",""
