"Graphique VI-4: Bilan ou solde de la migration interne il y a 1 an par région","","","","","","","","",""
"Diourbel","","","","","","","","","6,5"
"Dakar","","","","","","","","1,1",""
"Matam","","","","","","","","0,8",""
"Tambacounda","","","","","","","0,2","",""
"Thiès","","","","","","-0,3","","",""
"Saint-Louis","","","","","","-0,3","","",""
"Fatick","","","","","-1","","","",""
"Kédougou","","","","-1,3","","","","",""
"Kaffrine","","","","-1,4","","","","",""
"Kolda","","","-2,4","","","","","",""
"Kaolack","","","-2,4","","","","","",""
"Sédhiou","","","-2,5","","","","","",""
"Louga","","-4,2","","","","","","",""
"Ziguinchor","-5,4","","","","","","","",""
