"moment (au cours d’une année)","","","","","","","",""
"","","","","","Migrant","","",""
"Groupes d'âge","","non","","","oui","","Total",""
"","Effectif","","%","Effectif","","%","Effectif","%"
"1-4 ans","1 743 300","","97,7","40 446","","2,3","1 783 746","100,0"
"5-9 ans","2 292 177","","97,8","51 771","","2,2","2 343 948","100,0"
"10-14 ans","2 212 235","","97,7","51 495","","2,3","2 263 730","100,0"
"15-19 ans","2 005 451","","97,3","55 367","","2,7","2 060 818","100,0"
"20-24 ans","1 652 444","","96,9","52 852","","3,1","1 705 296","100,0"
"25-29 ans","1 307 357","","97,0","40 349","","3,0","1 347 706","100,0"
"30-34 ans","1 165 672","","97,1","34 543","","2,9","1 200 214","100,0"
"35-39 ans","1 006 607","","97,3","27 508","","2,7","1 034 115","100,0"
"40-44 ans","797 904","","97,4","21 234","","2,6","819 138","100,0"
"45-49 ans","618 362","","97,6","15 220","","2,4","633 583","100,0"
"50-54 ans","544 826","","97,6","13 360","","2,4","558 186","100,0"
"55-59 ans","384 894","","97,8","8 613","","2,2","393 507","100,0"
