"Branches d’activités2","Migrant","","","","",""
"","non","","oui","","total",""
"","Effectif","%","Effectif","%","Effectif","%"
"Agriculture","1 087 918","95,4","51 908","4,6","1 139 826","100"
"Elevage","205 121","96,9","6 582","3,1","211 703","100"
"Sylviculture","11 171","95,5","525","4,5","11 696","100"
"Pêche et Aquaculture","83 303","98","1 733","2,0","85 036","100"
"Activités extractives","104 836","96,2","4 135","3,8","108 972","100"
"Agroalimentaire","75 520","96,9","2 442","3,1","77 962","100"
"Raffinage du pétrole","613","97,4","17","2,6","630","100"
"Produits chimiques de base","1 892","96,9","60","3,1","1 953","100"
"Matériaux de construction","25 016","97,2","718","2,8","25 734","100"
"Autres industries manufacturières","239 298","97,5","6 038","2,5","245 335","100"
"Production et Distribution d’électricité","5 195","97,4","136","2,6","5 331","100"
"Production et Distribution d’eau","5 501","97,7","132","2,3","5 633","100"
"Construction bâtiment et génie civil","175 885","97,2","5 094","2,8","180 979","100"
"Commerce","562 273","97,3","15 732","2,7","578 005","100"
"Transport et Entreposage","193 689","97,3","5 343","2,7","199 032","100"
"Hébergement et Restauration","36 910","98","770","2,0","37 680","100"
"Information et Communication","26 417","98","551","2,0","26 968","100"
"Activités financières d’assurance","39 279","96,3","1 499","3,7","40 779","100"
"Activités immobilières","12 136","97,6","301","2,4","12 437","100"
"Services spécialisés scientifiques et techniques","12 655","97,6","317","2,4","12 972","100"
"Services de soutien aux activités de bureau","28 949","97,3","809","2,7","29 758","100"
"Administration publique","43 197","97,1","1 309","2,9","44 507","100"
"Enseignement","135 009","97,2","3 868","2,8","138 878","100"
"Santé et Action sociale","106 727","97,3","2 906","2,7","109 633","100"
"Activités à caractère collectif ou personnel","35 067","98","718","2,0","35 786","100"
"Services domestiques","216 321","95,8","9 539","4,2","225 861","100"
"Autres services","438 551","97,3","12 259","2,7","450 811","100"
"Correction territoriale","64 528","97","1 968","3,0","66 497","100"
"Total","3 972 980","96,7","137 411","3,3","4 110 392","100,0"
