"Groupe d’âge","Masculin","","Féminin","","Ensemble",""
"","Effectif","%","Effectif","%","Effectif","%"
"0-4","6 985","4,4","6 388","4,6","13 373","4,5"
"5-9","10 554","6,6","10 191","7,4","20 745","7,0"
"10-14","11 413","7,2","10 509","7,6","21 922","7,4"
"15-19","14 595","9,2","15 813","11,4","30 408","10,2"
"20-24","22 208","13,9","24 612","17,8","46 820","15,7"
"25-29","21 317","13,4","20 113","14,6","41 430","13,9"
"30-34","18 856","11,8","14 798","10,7","33 654","11,3"
"35-39","15 906","10,0","11 024","8,0","26 930","9,1"
"40-44","11 603","7,3","6 991","5,1","18 594","6,3"
"45-49","7 481","4,7","4 378","3,2","11 859","4,0"
"50-54","5 823","3,7","3 651","2,6","9 475","3,2"
"55-59","3 718","2,3","2 455","1,8","6 174","2,1"
"60-64","3 497","2,2","2 375","1,7","5 872","2,0"
"65-69","2 042","1,3","1 612","1,2","3 654","1,2"
"70-74","1 501","0,9","1 386","1,0","2 887","1,0"
"75-79","831","0,5","780","0,6","1 610","0,5"
"80-84","530","0,3","539","0,4","1 069","0,4"
"85 et plus","412","0,3","500","0,4","912","0,3"
"Total","159 270","100,0","138 116","100,0","297 386","100,0"
