"Masculin 
Féminin 
Ensemble 
Caractéristiques descriptives 
Effectif 
% 
Effectif 
% 
Effectif 
%","","","","","",""
"","","","","","",""
"Groupes d’âge","","","","","",""
"Moins de 15 ans","28 951","18,2","27 089","19,6","56 040","18,8"
"15-24 ans","36 803","23,1","40 425","29,3","77 228","26,0"
"25-34 ans","40 173","25,2","34 910","25,3","75 084","25,2"
"35-64 ans","48 028","30,2","30 875","22,4","78 903","26,5"
"65 ans et plus","5 316","3,3","4 816","3,5","10 132","3,4"
"Total","159 270","100,0","138 116","100,0","297 386","100,0"
"Niveau d’instruction","","","","","",""
"Sans niveau","83 826","53,8","70 545","52,2","154 370","53,0"
"Préscolaire","2 924","1,9","2 663","2,0","5 587","1,9"
"Elémentaire","25 823","16,6","24 260","17,9","50 083","17,2"
"Moyen","14 566","9,3","14 188","10,5","28 754","9,9"
"Secondaire","9 071","5,8","7 992","5,9","17 063","5,9"
"Supérieur","19 663","12,6","15 588","11,5","35 251","12,1"
"Total","155 872","100,0","135 236","100,0","291 108","100,0"
"Situation dans l’occupation principale","","","","","",""
"Travailleur indépendant","53 568","66,7","15 793","61,4","69 361","65,4"
"Employeur/Patron","5 220","6,5","1 283","5,0","6 503","6,1"
"Salarié/Employé permanent","10 272","12,8","4 704","18,3","14 976","14,1"
"Salarié/Employé temporaire","4 301","5,4","1 292","5,0","5 594","5,3"
"Apprenti","4 353","5,4","860","3,3","5 212","4,9"
"Aide familial","2 574","3,2","1 806","7,0","4 381","4,1"
"Total","80 288","100,0","25 738","100,0","106 027","100,0"
"Milieu de résidence","","","","","",""
"Urbain 
127 630 
80,1 
116 223 
84,1 
243 853 
82,0","","","","","",""
"Rural 
31 641 
19,9 
21 892 
15,9 
53 533 
18,0","","","","","",""
"Total 
159 270 
100,0 
138 116 
100,0 
297 386 
100,0","","","","","",""
"Région","","","","","",""
"Dakar","90 330","56,7","83 859","60,7","174 189","58,6"
"Ziguinchor","8 302","5,2","7 690","5,6","15 992","5,4"
"Diourbel","2 011","1,3","1 825","1,3","3 835","1,3"
"Saint-Louis","3 818","2,4","3 160","2,3","6 978","2,3"
"Tambacounda","8 696","5,5","6 838","5,0","15 534","5,2"
"Kaolack","3 790","2,4","3 683","2,7","7 473","2,5"
"Thiès","10 404","6,5","8 698","6,3","19 102","6,4"
"Louga","991","0,6","617","0,4","1 608","0,5"
"Fatick","1 994","1,3","2 069","1,5","4 063","1,4"
"Kolda","6 832","4,3","6 681","4,8","13 513","4,5"
"Matam","2 880","1,8","1 967","1,4","4 846","1,6"
"Kaffrine","846","0,5","951","0,7","1 797","0,6"
"Kédougou","16 422","10,3","8 359","6,1","24 780","8,3"
"Sédhiou","1 956","1,2","1 720","1,2","3 676","1,2"
"Total","159 270","100,0","138 116","100,0","297 386","100,0"
