"Tableau VI-20 : Répartition des immigrants internationaux durée de vie par nationalité selon la région","","","","","","","","","","","","","","","",""
"","","","","","","","Région","","","","","","","","Effectif","%"
"Nationalité","","","","","","","","","","","","","","","",""
"","","Zig","","Sai","","","Thi","Lou","Fat","","","","","Séd","total","Total"
"","","","","","Tam","","","","","","Mat","","","","",""
"Sénégal4","41,0","52,9","77,1","62,0","47,3","63,8","54,3","65,9","64,9","57,7","74,5","79,0","22,7","69,5","134 437","45,2"
"Bénin","1,0","0,1","0,0","0,1","0,0","0,0","0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1 956","0,7"
"Burkina Faso","0,9","0,2","0,3","0,4","2,1","0,1","1,4","0,3","0,2","0,9","0,1","0,1","10,4","0,0","5 052","1,7"
"Cap-Vert","0,2","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","427","0,1"
"Côte d'Ivoire","1,7","0,5","0,3","0,5","0,1","0,3","1,2","0,5","0,3","0,2","0,3","0,1","0,2","0,2","3 419","1,1"
"Gambie","1,0","4,6","2,4","1,4","1,5","5,7","2,4","1,6","9,9","4,3","1,7","5,6","0,2","4,3","5 122","1,7"
"Ghana","0,1","5,0","0,0","0,0","0,0","0,2","0,1","0,0","0,0","0,0","0,0","0,0","0,2","0,0","1 104","0,4"
"Guinée","28,6","15,8","6,9","11,4","11,0","18,3","15,5","11,2","10,5","22,7","5,5","8,2","23,2","5,0","69 446","23,4"
"Guinée-Bissau","2,1","12,0","1,8","2,5","0,3","1,0","3,1","4,6","1,0","5,1","01,4","0,7","0,1","8,4","7 807","2,6"
"Libéria","0,1","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","127","0,0"
"Mali","4,6","3,6","3,8","9,7","33,5","3,5","5,6","4,7","2,5","4,1","9,7","1,9","39,5","7,3","27 286","9,2"
"Niger","1,2","0,6","1,5","1,2","0,6","1,5","2,1","1,2","3,6","1,1","0,1","0,5","0,5","2,8","3 381","1,1"
"Nigeria","1,0","0,3","0,2","0,3","0,5","1,1","0,6","0,2","0,6","0,2","0,1","0,6","0,7","0,1","2 348","0,8"
"Sierra Leone","0,3","0,2","0,0","0,0","0,0","0,1","0,3","0,0","0,4","0,0","0,0","0,3","0,0","0,0","588","0,2"
"Togo","1,3","0,1","0,0","0,2","0,1","0,2","0,7","0,1","0,2","0,1","0,0","0,0","0,1","0,1","2 534","0,9"
"Mauritanie","1,0","0,7","2,8","5,9","1,6","1,3","2,3","6,2","2,8","0,4","5,1","1,4","0,5","0,6","3 858","1,3"
"Autre Afrique","10,2","0,8","1,0","1,3","0,3","0,6","2,5","0,6","0,6","0,1","0,4","0,7","0,2","0,2","18 738","6,3"
"Amériques","0,6","0,3","0,2","0,4","0,0","0,1","0,6","0,3","0,1","0,1","0,1","0,2","0,1","0,2","1 212","0,4"
"Asie","0,9","0,1","0,1","0,3","0,1","0,5","0,7","0,3","0,1","0,0","0,0","0,0","0,1","0,1","1 751","0,6"
"5Europe","2,0","1,7","1,1","1,9","0,4","0,5","5,8","2,6","1,9","0,2","0,8","0,7","0,0","0,5","5 326","1,8"
"Australie","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,0","48","0,0"
"Personnes n’ayant pas déclaré leur","","","","","","","","","","","","","","","",""
"","0,2","0,5","0,1","0,3","0,6","1,0","0,1","0,0","0,4","2,7","0,1","0,2","1,5","0,6","1 419","0,5"
"nationalité","","","","","","","","","","","","","","","",""
"Total","100,","100,","100,","100,","100,","100,","100,","100,","100,","100,","100,","100,","100,","100,","",""
"","","","","","","","","","","","","","","","297 386","100,0"
"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"Source: ANSD. RGPH-5, 2023","","","","","","","","","","","","","","","",""
