"ailleurs, cet effectif a connu une augmentation significative de 45,3% entre 2002 et 2023.","","","","","",""
"","Tableau VI-21 : Evolution des immigrants internationaux durée de vie depuis le RGPH de 2002","","","","",""
"","RGPH, 2002","","RGPHAE, 2013","","RGPH-5, 2023",""
"Nationalité","","","","","",""
"","Effectif","%","Effectif","%","Effectif","%"
"Sénégalais","160 370","78,3","111 700","45,6","134 437","45,2"
"Africains de l'Ouest","32 787","16,0","114 517","46,8","134 456","45,2"
"Autre Afrique","4 724","2,3","8 048","3,3","18 738","6,3"
"Amériques","548","0,3","1 763","0,7","1 212","0,4"
"Asie","336","0,2","317","0,1","1 751","0,6"
"Europe","3 993","2,0","7 209","2,9","5 326","1,8"
"Australie","794","0,4","568","0,2","48","0,0"
"Personnes n’ayant pas déclaré leur nationalité","1 173","0,6","827","0,3","1 419","0,5"
"Ensemble","204 725","100,0","244 949","100,0","297 386","100,0"
"","2002-2013","","2013-2023","","2002-2023",""
