"Groupe d’âge","Sexe","","","","",""
"","Masculin","","Féminin","","Ensemble",""
"","Effectif","%","Effectif","%","Effectif","%"
"5-9 ans","2 499","7,9","2 476","9,9","4 975","8,8"
"10-14 ans","1 987","6,3","1 761","7,1","3 748","6,6"
"15-19 ans","3 187","10,1","4 055","16,3","7 242","12,8"
"20-24 ans","5 709","18,1","5 956","23,9","11 665","20,7"
"25-29 ans","4 618","14,7","3 523","14,1","8 140","14,4"
"30-34 ans","3 336","10,6","2 289","9,2","5 625","10,0"
"35-39 ans","2 728","8,7","1 604","6,4","4 332","7,7"
"40-44 ans","2 055","6,5","998","4,0","3 052","5,4"
"45-49 ans","1 554","4,9","674","2,7","2 229","4,0"
"50-54 ans","1 249","4,0","486","1,9","1 734","3,1"
"55-59 ans","818","2,6","345","1,4","1 164","2,1"
"60-64 ans","721","2,3","294","1,2","1 016","1,8"
"65-69 ans","522","1,7","186","0,7","708","1,3"
"70-74 ans","301","1,0","137","0,6","438","0,8"
"75-79 ans","113","0,4","66","0,3","179","0,3"
"80-84 ans","48","0,2","39","0,2","87","0,2"
"85 ans et plus","37","0,0","30","0,0","68","0,0"
"Total","31 482","100,0","24 919","100,0","56 401","100,0"
