"Tableau VI-23 : Répartition des immigrants internationaux il y a 5 ans par nationalité selon les motifs de déplacement","","","","","","","","","","",""
"","","","","","Motif du déplacement","","","","","",""
"","","","","","","","","","Raison","",""
"","Conflits","Situation","Raisons","","Etudes ou un","","","Raisons","autre","",""
"","","","","","","","","","","%","Effecti"
"","","","","","","Raisons","Question","","","",""
"Nationalité","","","","","","","","","","",""
"","armés","d'inondatio","purement","Recherch","quelconque","","","religieuse","que","",""
"","","","","","","","","","","Total","f"
"","","","","","","familiale","s de","","","",""
"","(guerres","n ou de","professionnelle","e d'emploi","apprentissag","","","s ou","celles","",""
"","","","","","","s","santé","","","",""
"",")","sinistre","s","","e","","","sociales","précitée","",""
"","","","","","","","","","s ci haut","",""
"Sénégal","0,9","0,1","17,3","25,6","7,6","40,4","1,6","1,8","4,7","100,0","22 452"
"Bénin","0,0","0,0","29,0","15,8","37,4","17,4","0,0","0,3","0,2","100,0","431"
"Burkina Faso","0,1","0,0","12,7","51,2","10,5","22,3","0,0","0,4","2,8","100,0","1 144"
"Cap-Vert","0,0","0,0","34,3","4,4","43,9","15,4","0,0","0,0","2,1","100,0","50"
"Côte d'Ivoire","0,0","0,0","24,4","13,1","32,2","27,8","0,3","1,0","1,2","100,0","773"
"Gambie","0,1","0,1","6,5","19,7","11,1","49,3","2,9","4,0","6,3","100,0","1 296"
"Ghana","2,0","0,0","29,3","31,4","4,5","32,8","0,0","0,0","0,0","100,0","51"
"Guinée","0,1","0,0","8,0","32,2","7,0","46,3","1,5","1,8","3,3","100,0","11 753"
"Guinée-Bissau","0,5","0,1","8,3","33,6","14,6","35,0","2,4","2,9","2,7","100,0","1 840"
"Libéria","0,0","0,0","12,5","32,7","4,3","39,0","0,0","7,7","3,9","100,0","26"
"Mali","0,3","0,0","11,9","52,8","4,9","23,8","0,3","1,2","4,8","100,0","4 776"
"Niger","0,3","0,0","16,4","51,0","15,7","13,7","0,0","0,4","2,5","100,0","876"
"Nigeria","0,0","0,0","24,3","45,6","10,0","17,1","0,0","0,8","2,1","100,0","407"
"Sierra Leone","0,0","0,0","26,2","53,2","1,5","16,8","0,0","0,4","1,8","100,0","231"
"Togo","0,0","0,0","25,7","15,9","38,7","17,7","0,2","1,1","0,6","100,0","490"
"Mauritanie","0,0","0,1","14,9","15,7","30,1","32,0","1,4","1,6","4,1","100,0","867"
"Autre Afrique","0,2","0,0","20,6","4,2","63,7","8,7","0,3","0,4","1,9","100,0","6 459"
"Amériques","0,0","0,0","38,3","3,0","9,9","43,8","0,6","0,7","3,7","100,0","320"
"Asie","3,1","0,0","58,5","15,6","2,2","17,5","0,0","0,5","2,7","100,0","469"
"Europe","0,2","0,0","43,4","7,8","6,7","34,2","0,6","1,0","6,2","100,0","1 316"
"Australie","0,0","0,0","16,8","7,4","52,1","23,7","0,0","0,0","0,0","100,0","14"
"Personnes n’ayant pas déclaré leur","","","","","","","","","","",""
"","0,0","0,0","5,3","25,5","7,1","46,9","0,6","7,9","6,8","100,0","362"
"nationalité","","","","","","","","","","",""
"Total","0,5","0,1","16,0","27,0","15,3","34,6","1,2","1,6","3,8","100,0","56 401"
"Source: ANSD. RGPH-5, 2023","","","","","","","","","","",""
