"","","","","","","","","","","","","","","","","%"
"","","","","","","","Région","","","","","","","","","Total"
"","","","","","","","","","","","","","","","Effectif",""
"Nationalité","Dakar","Ziguinchor","Diourbel","Saint-Louis","Tambacounda","Kaolack","Thiès","Louga","Fatick","Kolda","Matam","Kaffrine","Kédougou","Sédhiou","",""
"Sénégal","46,0","8,5","4,3","5,5","3,9","4,1","9,8","1,9","2,6","4,9","2,9","0,8","1,3","3,5","22452","100,0%"
"Bénin","85,9","1,7","0,0","1,2","0,0","0,2","10,6","0,0","0,0","0,5","0,0","0,0","0,0","0,0","431","100,0%"
"Burkina Faso","32,6","1,2","0,0","0,3","4,2","0,3","5,6","0,0","0,2","5,2","0,1","0,1","50,2","0,1","1144","100,0%"
"Cap-Vert","95,9","2,0","0,0","0,0","0,0","0,0","2,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","50","100,0%"
"Côte d'Ivoire","87,5","2,1","0,0","0,7","0,3","0,3","6,7","0,4","0,3","0,9","0,1","0,0","0,7","0,1","773","100,0%"
"Gambie","30,6","19,2","0,9","2,4","2,5","9,0","10,0","0,7","7,5","7,9","0,5","2,2","0,6","6,0","1296","100,0%"
"Ghana","74,2","13,8","0,0","0,0","0,0","6,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","51","100,0%"
"Guinée","70,1","5,0","0,4","1,3","2,4","2,7","5,6","0,3","0,8","5,7","0,3","0,1","5,1","0,5","11753","100,0%"
"Guinée-Bissau","44,0","23,6","0,4","2,3","1,0","0,4","10,2","0,8","0,9","9,9","0,3","0,1","0,1","6,0","1840","100,0%"
"Libéria","77,0","0,0","3,9","0,0","0,0","0,0","7,7","0,0","3,8","7,6","0,0","0,0","0,0","0,0","26","100,0%"
"Mali","42,8","2,9","0,4","1,3","13,8","0,5","5,2","0,1","0,2","3,1","0,9","0,1","27,8","1,0","4776","100,0%"
"Mauritanie","55,5","3,8","1,1","12,3","5,0","1,2","7,9","1,2","2,1","0,9","7,0","0,1","1,5","0,5","867","100,0%"
"Niger","57,4","3,0","1,9","1,5","2,3","2,9","15,1","0,2","5,0","5,2","0,1","0,3","2,1","2,9","876","100,0%"
"Nigeria","61,8","3,3","0,5","2,0","1,2","6,5","10,5","0,0","1,5","3,5","0,0","0,3","8,4","0,5","407","100,0%"
"Sierra Leone","73,7","3,5","0,0","0,0","0,4","0,4","13,6","0,0","5,7","0,0","0,0","2,2","0,4","0,0","231","100,0%"
"Togo","90,9","0,4","0,2","0,6","0,8","1,0","4,8","0,0","0,2","0,6","0,0","0,0","0,4","0,0","490","100,0%"
"Autre Afrique","96,5","0,6","0,1","0,2","0,1","0,3","1,9","0,0","0,0","0,0","0,0","0,0","0,1","0,0","6459","100,0%"
"Amériques","81,6","5,1","0,6","3,2","0,0","0,6","7,6","0,0","0,3","0,0","0,0","0,6","0,0","0,3","320","100,0%"
"Asie","83,3","2,0","0,2","0,4","1,5","4,4","7,3","0,2","0,4","0,0","0,0","0,0","0,2","0,0","469","100,0%"
"Europe","73,4","4,0","0,8","2,2","1,2","0,9","14,0","0,5","1,2","0,7","0,7","0,2","0,2","0,2","1316","100,0%"
"Australie","25,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","74,4","0,0","0,0","0,0","0,0","14","100,0%"
"Personnes n’ayant pas déclaré leur nationalité","22,9","9,6","0,0","0,8","4,2","10,4","3,7","0,0","1,1","28,2",",6","1,1","16,3","1,1","362","100,0%"
"Total","58,7","6,3","1,9","3,1","3,6","2,8","7,6","0,9","1,6","4,4","1,5","0,4","5,2","2,0","56401","100,0%"
"Source: ANSD. RGPH-5, 2023","","","","","","","","","","","","","","","",""
