"Tableau VI-25 : Répartition des immigrants internationaux récents (il y a 1 an) par groupe d'âge","","","","","","","",""
"","","","","Sexe","","","",""
"Groupe d'âge","","Masculin","","Féminin","","","Total",""
"","Effectif","%","Effectif","","%","Effectif","","%"
"1-4 ans","805","7,0","786","","10,7","1591","","8,4"
"5-9 ans","511","4,4","558","","7,6","1068","","5,7"
"10-14 ans","493","4,3","428","","5,8","921","","4,9"
"15-19 ans","933","8,1","1147","","15,7","2080","","11,0"
"20-24 ans","1455","12,6","1275","","17,4","2731","","14,5"
"25-29 ans","1416","12,3","909","","12,4","2325","","12,3"
"30-34 ans","1257","10,9","678","","9,3","1935","","10,3"
"35-39 ans","1114","9,6","468","","6,4","1581","","8,4"
"40-44 ans","945","8,2","305","","4,2","1250","","6,6"
"45-49 ans","783","6,8","235","","3,2","1018","","5,4"
