"","Tableau  VI-26 :  Répartition des  immigrants  internationaux  récents  (il  y  a  1  an)  par groupe  d'âge, niveau","","","","",""
"","d’instruction, situation dans l’occupation principale, milieu de résidence et région selon le sexe","","","","",""
"","Masculin","","Féminin","","Ensemble",""
"Caractéristiques descriptives","","","","","",""
"","Effectif","%","Effectif","%","Effectif","%"
"Groupes d’âge","","","","","",""
"Moins de 15 ans","1 809","15,7","1 771","24,2","3 581","19,0"
"15-24 ans","2 389","20,7","2 422","33,1","4 811","25,5"
"25-34 ans","2 673","23,2","1 586","21,7","4 259","22,6"
"35-64 ans","4 231","36,7","1 384","18,9","5 615","29,8"
"65 ans et plus","440","3,8","160","2,2","600","3,2"
"Total","11 542","100,0","7 324","100,0","18 866","100,0"
"Niveau d’instruction","","","","","",""
"Sans niveau","5 186","46,4","3 009","43,1","8 195","45,1"
"Préscolaire","238","2,1","210","3,0","448","2,5"
"Elémentaire","1 874","16,8","1 252","17,9","3 126","17,2"
"Moyen","1 291","11,5","798","11,4","2 089","11,5"
"Secondaire","1 004","9,0","595","8,5","1 598","8,8"
"Supérieur","1 589","14,2","1 126","16,1","2 716","14,9"
"Total","11 182","100,0","6 990","100,0","18 172","100,0"
"Situation dans l’occupation principale","","","","","",""
"Travailleur indépendant","2 988","51,6","656","41,3","3 644","49,4"
"Employeur/Patron","474","8,2","118","7,4","591","8,0"
"Salarié/Employé permanent","1 307","22,6","479","30,2","1 786","24,2"
"Salarié/Employé temporaire","444","7,7","156","9,8","600","8,1"
"Apprenti","322","5,6","57","3,6","379","5,1"
"Aide familial","252","4,4","123","7,8","376","5,1"
"Total","5 787","100,0","1 589","100,0","7 376","100,0"
"Milieu de résidence","","","","","",""
"Urbain","8 442","73,1","6 073","82,9","14 515","76,9"
"Rural","3 100","26,9","1 251","17,1","4 351","23,1"
"Total","11 542","100,0","7 324","100,0","18 866","100,0"
"Région","","","","","",""
"Dakar","4 794","41,5","4 250","58,0","9 044","47,9"
"Ziguinchor","595","5,2","573","7,8","1 168","6,2"
"Diourbel","662","5,7","109","1,5","771","4,1"
"Saint-Louis","601","5,2","278","3,8","879","4,7"
"Tambacounda","696","6,0","325","4,4","1 021","5,4"
"Kaolack","437","3,8","239","3,3","676","3,6"
"Thiès","1 161","10,1","501","6,8","1 663","8,8"
"Louga","368","3,2","42","0,6","410","2,2"
"Fatick","283","2,5","98","1,3","381","2,0"
"Kolda","598","5,2","301","4,1","899","4,8"
"Matam","383","3,3","78","1,1","461","2,4"
"Kaffrine","89","0,8","38","0,5","128","0,7"
"Kédougou","392","3,4","239","3,3","631","3,3"
"Sédhiou","483","4,2","251","3,4","734","3,9"
"Total","11 542","100,0","7 324","100,0","18 866","100,0"
"% Total","61,2","-","38,8","-","100,0",""
"Source: ANSD. RGPH-5, 2023","","","","","",""
