"","Thiès  10,8%.  En  revanche,  les  régions  de  Kédougou  (0,7%)  et  Kaffrine  (1,5%),  enregistrent  les",""
"proportions d’émigrants les plus faibles.","",""
"Tableau VI-28 : Répartition des émigrants internationaux au cours des 5 dernières années par région","",""
"Régions","Effectifs","Pourcentage"
"Dakar","46 502","27,9"
"Ziguinchor","4 086","2,5"
"Diourbel","18 156","10,9"
"Saint-Louis","14 341","8,6"
"Tambacounda","8 970","5,4"
"Kaolack","6 841","4,1"
"Thiès","18 001","10,8"
"Louga","11 745","7,1"
"Fatick","4 912","2,9"
"Kolda","9 159","5,5"
"Matam","15 120","9,1"
"Kaffrine","2 447","1,5"
"Kédougou","1 179","0,7"
"Sédhiou","5 102","3,1"
"Total","166 561","100,0"
"Source: ANSD. RGPH-5, 2023","",""
