"proportion d’émigrants est plus soutenue.","","","","","","","","","","",""
"","Graphique VI-8: Répartition des émigrants internationaux par grands groupes d’âge selon le sexe","","","","","","","","","",""
"40,00%","","","","","","","","","36,90%","",""
"","","","","","","","35,50%","","","",""
"","","","","","","","","35,20%","","",""
"","","","","","","35,10%","","","","","34,80%"
"35,00%","","","","32,20%","","","","","","",""
"30,00%","","","","","","","","","","",""
"","","","","","24,80%","","","","","24,70%",""
"25,00%","","","23,30%","","","","","","","",""
"20,00%","","","","","","","","","","",""
"15,00%","","","","","","","","","","",""
"10,00%","","","","","","","","","","",""
"","6,10%","","","","","","","","","",""
"","","","","","","","","","","",""
"5,00%","","3,20%","","","","","","","","",""
