"","","Sexe","","",""
"Groupe d’âges","","","","Total","Effectifs"
"","Homme","","Femme","",""
"Divorcé(e)","55,9","","44,1","100,0","2 306"
"Union libre/Concubinage","77,7","","22,3","100,0","127"
"Séparé(e)","100,0","","0,0","100,0","62"
"Total","83,4","","16,6","100,0","166 5515"
"","","Milieu de résidence","","",""
"Urbain","78,7","","21,3","100,0","105 545"
"Rural","91,6","","8,4","100,0","61 016"
"Total","83,4","","16,6","100,0","166 561"
"","","Région de résidence","","",""
"Dakar","70,9","","29,1","100,0","46 502"
"Ziguinchor","72,8","","27,2","100,0","4 086"
"Diourbel","90,4","","9,6","100,0","18 156"
"Saint-Louis","81,2","","18,8","100,0","14 341"
"Tambacounda","93,5","","6,5","100,0","8 970"
"Kaolack","85,9","","14,1","100,0","6 841"
"Thiès","80,4","","19,6","100,0","18 001"
"Louga","92,6","","7,4","100,0","11 745"
"Fatick","86,9","","13,1","100,0","4 912"
"Kolda","93,3","","6,7","100,0","9 159"
"Matam","95,1","","4,9","100,0","15 120"
"Kaffrine","92,1","","7,9","100,0","2 447"
"Kédougou","89,0","","11,0","100,0","1 179"
"Sédhiou","94,7","","5,3","100,0","5 102"
"Total","83,4","","16,6","100,0","166 561"
"Source: ANSD. RGPH-5, 2023","","","","",""
