"moins prisées par les émigrants internationaux du Sénégal, avec des proportions inférieures","",""
"à 1%.","",""
"Tableau VI-31 : Répartition des émigrants internationaux par pays de destination sous-régionale","",""
"Pays de destination","Effectifs","Pourcentages"
"Afrique de l'Ouest","30 697","18,4"
"Afrique centrale","8 670","5,2"
"Afrique du Nord","15 395","9,2"
"Afrique australe","2 148","1,3"
"Afrique de l'Est","168","0,1"
"Américains du Nord","8 665","5,2"
"Américains centrale","145","0,1"
"Américains du Sud","2 414","1,4"
"Asie de l'Ouest","3 466","2,1"
"Asie centrale","11","0,0"
"Asie du Sud","315","0,2"
"Asie de l'Est","733","0,4"
"Europe de l'Est","302","0,2"
"Europe du Nord","252","0,2"
"Europe de l'Ouest","36 518","21,9"
"Europe du Sud","51 302","30,8"
"Europe centrale","2 787","1,7"
"Australie","144","0,1"
"Autres","516","0,3"
"NSP","1 913","1,1"
"Total","166 561","100,0"
"Source: ANSD. RGPH-5, 2023","",""
