"Pays de destination","Effectif masculin","masculin","Effectif féminin","féminin","Effectif total","total"
"France","25 661","18,5","8 774","31,8","34 434","20,7"
"Espagne","22 649","16,3","2 174","7,9","24 823","14,9"
"Italie","22 513","16,2","2 929","10,6","25 442","15,3"
"Maroc","10 208","7,3","3 168","11,5","13 375","8,0"
"Mauritanie","9 201","6,6","2 401","8,7","11 601","7,0"
"Gambie","5 943","4,3","824","3,0","6 767","4,1"
"Côte d'Ivoire","5 149","3,7","413","1,5","5 562","3,3"
"Gabon","4 763","3,4","165","0,6","4 928","3,0"
"U S A","3 478","2,5","1 103","4,0","4 581","2,8"
"Canada","2 751","2,0","1 292","4,7","4 043","2,4"
