"","0,3%) ou des raisons familiales (12,2% contre 4,6%), les femmes sont plus concernées que","","",""
"les hommes.","","","",""
"Tableau VI-33 : Répartition des émigrants internationaux par principal motif de la migration","","","",""
"Principal motif de migration","Masculin","Féminin","Effectif total","total"
"Travail","77,9","41,8","119 782","71,9"
"Etude/apprentissage","10,3","25,6","21 430","12,9"
"Mariage","0,2","11,9","3 582","2,2"
"Raisons de santé","0,3","1,5","831","0,5"
"Raisons familiales","4,6","12,2","9 817","5,9"
"Autres","1,1","1,7","1 993","1,2"
"Ne Sait Pas","5,5","5,3","9 125","5,5"
"Total","100,0","100,0","166 561","100,0"
"Source: ANSD. RGPH-5, 2023","","","",""
