"T","ableau VI-34 : Solde migratoire international au cours des 5 dernières années","",""
"","Emigration","Immigration","Solde migratoire"
"Régions","","",""
"","internationale 5 ans","internationale 5 ans","international 5 ans"
"Dakar","46 502","33 124","-13 378"
"Ziguinchor","4 086","3 581","-505"
"Diourbel","18 156","1 094","-17 062"
"Saint-Louis","14 341","1 725","-12 616"
"Tambacounda","8 970","2 025","-6 945"
"Kaolack","6 841","1 558","-5 283"
"Thiès","18 001","4 271","-13 730"
"Louga","11 745","510","-11 235"
"Fatick","4 912","913","-3 999"
"Kolda","9 159","2 461","-6 698"
"Matam","15 120","834","-14 286"
"Kaffrine","2 447","238","-2 209"
"Kédougou","1 179","2 944","1 765"
"Sédhiou","5 102","1 122","-3 980"
"Total","166 561","56 401","-110 160"
