"Tableau VI-35 : Solde migratoire international au cours des 12 derniers mois par région","","",""
"","Emigration","Immigration","Solde migratoire"
"Régions","internationale récente","internationale","international récent (il"
"","(il y’a un an)","récente (il y’a un an)","y’a un an)"
"Dakar","18 695","9 044","-9 651"
"Ziguinchor","1 396","1 168","-228"
"Diourbel","8 198","771","-7 427"
"Saint-Louis","6 588","879","-5 709"
"Tambacounda","2 444","1 021","-1 423"
"Kaolack","2 377","676","-1 701"
"Thiès","6 151","1 663","-4 488"
"Louga","4 445","410","-4 035"
"Fatick","1 507","381","-1 126"
"Kolda","2 379","899","-1 480"
"Matam","5 060","461","-4 599"
"Kaffrine","742","128","-614"
"Kédougou","286","631","345"
"Sédhiou","1 252","734","-518"
"Total","61 520","18 866","-42 654"
"Source: ANSD. RGPH-5, 2023","","",""
