"","répondu  aux  questions.  Ainsi,  il  n’existe  pas  de  valeurs  manquantes  pour  l’ensemble  des","","","",""
"variables d’analyse.","","","","",""
"Tableau VII-1 : Examen de la qualité des variables d’analyse","","","","",""
"N°","Libellé de la","Nom de","(a)","(b) Cas","(c) Taux de valeurs"
"d’ordre","variable","variable","Cas valides","manquants","manquantes (%)"
"","Etat","","","",""
"1.","","B41","12 588 519","0","0%"
"","matrimonial","","","",""
"","Présence du","","","",""
"2.","conjoint dans le","B41A","3415061","0","0%"
"","ménage","","","",""
"","Déclaration du","","","",""
"3.","mariage à l’Etat","B42","3 415 061","0","0%"
"","Civil","","","",""
"Source : ANSD. RGPH-5, 2023","","","","",""
