"AGE (an)","Marié (e)","","Célibataire","","Veuf/Veuve","","Divorcé(e)","","Autres 
statuts3 
matrimoniaux","","Total",""
"","Masculin 
(%)","Féminin 
(%)","Masculin 
(%)","Féminin 
(%)","Masculin 
(%)","Féminin 
(%)","Masculin 
(%)","Féminin 
(%)","Masculin 
(%)","Féminin 
(%)","Masculin 
(effectif)","Féminin 
(effectif)"
"12-14'","1,7","3,2","98,3","96,5","0","0,1","0","0,1","0","0,2","690 632","675 433"
"15-19'","3,8","20,2","96,1","79,2","0","0,1","0","0,3","0,1","0,2","1 027 889","1035 009"
"20-24'","13,7","51,6","85,9","46,9","0,1","0,2","0,2","1,2","0,1","0,2","818 966","889 061"
"25-29'","34,4","71","64,9","26,2","0,1","0,4","0,4","2,2","0,1","0,1","644 229","705 802"
"30-34'","59,6","80,7","39,1","15,3","0,2","0,8","0,9","3,1","0,1","0,2","581 281","620 868"
"35-39'","77,3","85,2","21,1","9,7","0,2","1,4","1,3","3,5","0,1","0,2","504 496","531 200"
"40-44'","86,2","85,6","11,8","7,2","0,4","3,1","1,6","3,9","0,1","0,2","419 841","400 547"
"45-49'","89,9","84,4","7,8","5,7","0,5","5,8","1,6","3,8","0,1","0,3","317 452","317 149"
"50-54'","91,7","79,5","5,8","4,8","0,8","11,9","1,6","3,4","0,1","0,4","270 699","288 260"
"55-59'","92,1","73,1","4,9","4,4","1,2","18,8","1,7","3,1","0,1","0,6","188 648","205 377"
"60-64'","92,6","62,6","3,9","4,1","1,9","30,2","1,5","2,3","0,2","0,8","187 577","201 128"
"65-69'","92,8","53,8","3","3,9","2,6","39,7","1,4","1,8","0,2","0,8","129 139","129 036"
"70-74'","91,9","42,2","2,7","4","4,1","51,5","1,1","1,1","0,3","1,2","100 061","107 365"
"75-79'","91","35,8","2,3","4,1","5,5","58,3","0,9","0,8","0,3","1","47 305","51 125"
"80-84'","88","29,9","2,4","4,2","8,5","64","0,7","0,6","0,4","1,3","31 360","38 226"
"85-89'","86,2","27","2,4","4,1","10,4","67,1","0,6","0,5","0,3","1,3","13 320","15 551"
"90-94'","81,1","24,3","3,1","3,9","14,7","70","0,4","0,4","0,7","1,4","6 662","9 112"
"95 & +","74,8","26,6","6,2","5,5","17,6","65,5","0,7","0,6","0,7","1,7","3 955","5 771"
"Sénégal","44,6","54,8","54,1","37,1","0,5","5,9","0,7","1,9","0,1","0,3","5 983 512","6 226 020"
