"","","","","","","","","","","","","","","matrimoniaux",""
"Région","Homme 
(%)","Femme 
(%)","Effectif","Homme 
(%)","Femme 
(%)","Effectif","Homme 
(%)","Femme 
(%)","Effectif","Homme 
(%)","Femme 
(%)","Effectif","Homme 
(%)","Femme 
(%)","Effectif"
"Dakar","47,6","52,4","1408 965","55,3","44,7","1440 262","8,3","91,7","91 412","23,9","76,1","66 779","32,4","67,6","2 851"
"Ziguinchor","45","55","176 198","59,4","40,6","229 132","9,4","90,6","19 510","32,8","67,2","5 616","33,9","66,1","988"
"Diourbel","40,5","59,5","703 793","57,3","42,7","577 441","7,5","92,5","44 752","28,2","71,8","13 972","21,3","78,7","3 324"
"Saint-Louis","44,1","55,9","409 211","58,6","41,4","358 235","7,1","92,9","27 051","23,8","76,2","11 123","29,1","70,9","1 171"
"Tambacounda","43,2","56,8","336 144","61,3","38,7","261 270","8,9","91,1","16 573","27,9","72,1","5 154","33,6","66,4","1 453"
"Kaolack","41,8","58,2","426 649","59,6","40,4","380 456","6,2","93,8","29 614","26,8","73,2","8 645","19,4","80,6","1 558"
"Thiès","44,8","55,2","819 995","58","42","806 761","8,2","91,8","53 585","28,1","71,9","20 818","30,1","69,9","2 336"
"Louga","42,3","57,7","405 462","58,6","41,4","305 394","8","92","25 576","26,9","73,1","6 982","28,5","71,5","1 954"
"Fatick","41,7","58,3","284 079","59","41","271 358","7,7","92,3","20 448","31","69","4 431","31,1","68,9","1 443"
"Kolda","42,5","57,5","309 499","62,8","37,2","246 030","8,3","91,7","16 410","30,2","69,8","4 785","25,9","74,1","1 994"
"Matam","41,9","58,1","259 931","60,2","39,8","228 084","5,8","94,2","18 182","19,1","80,9","7 832","24,5","75,5","1 410"
"Kaffrine","42,4","57,6","277 278","62","38","204 864","6,8","93,2","15 606","28","72","3 356","20,2","79,8","1 359"
"Kédougou","46,4","53,6","86 432","67,3","32,7","65 344","9,5","90,5","3 949","32,6","67,4","1 218","50,1","49,9","934"
"Sédhiou","41,4","58,6","175 382","61,2","38,8","174 589","6,7","93,3","12337","31,9","68,1","2 043","22","78","760"
"Sénégal","43,9","56,1","6 079 018  58,3","","41,7","5 549 220","7,8","92","395 005","25,9","74,1","162 754","27,9","72,1","23 537"
"","Source : ANSD.RGPH-5, 2023","","","","","","","","","","","","","",""
