"Région","Statut matrimonial","","","","",""
"","Marié (e) 
(%)","Célibataire 
(%)","Veuf/Veuve 
(%)","Divorcé(e) 
(%)","Autres statuts 
matrimoniaux 
(%)","Total 
(effectif)"
"Dakar","46,8","47,8","3","2,2","0,1","3010 269"
"Ziguinchor","40,8","53,1","4,5","1,3","0,2","431 445"
"Diourbel","52,4","43","3,3","1","0,2","1343 282"
"Saint-Louis","50,7","44,4","3,4","1,4","0,1","806 791"
"Tambacounda","54,2","42,1","2,7","0,8","0,2","620 594"
"Kaolack","50,4","44,9","3,5","1","0,2","846 922"
"Thiès","48,1","47,4","3,1","1,2","0,1","1703 494"
"Louga","54,4","41","3,4","0,9","0,3","745 368"
"Fatick","48,8","46,6","3,5","0,8","0,2","581 759"
"Kolda","53,5","42,5","2,8","0,8","0,3","578 717"
"Matam","50,4","44,3","3,5","1,5","0,3","515 439"
"Kaffrine","55,2","40,8","3,1","0,7","0,3","502 463"
"Kédougou","54,7","41,4","2,5","0,8","0,6","157 877"
"Sédhiou","48","47,8","3,4","0,6","0,2","365 112"
"Sénégal","49,8","45,4","3,2","1,3","0,2","1 2209 532"
