"","âgée de 50 ans et plus à Kolda (2,3%) et à Kédougou (2,6%), (Tableau VII-7).","","",""
"Tableau VII-7 : Proportion des célibataires dans la population de 50 ans et plus par sexe et région","","","",""
"","","Sexe","",""
"Région","","","","Ensemble"
"","Masculin","","Féminin",""
"Dakar","5,8%","","5,6%","5,7%"
"Ziguinchor","7,9%","","5,2%","6,4%"
"Diourbel","3,3%","","3,8%","3,6%"
"Saint-Louis","3,3%","","4,3%","3,8%"
"Tambacounda","3,5%","","3,6%","3,6%"
"Kaolack","3,7%","","4,3%","4,0%"
"Thiès","4,4%","","4,0%","4,2%"
"Louga","2,7%","","3,7%","3,3%"
"Fatick","3,7%","","3,8%","3,8%"
"Kolda","3,1%","","2,3%","2,7%"
"Matam","2,5%","","3,5%","3,0%"
"Kaffrine","2,9%","","4,5%","3,7%"
"Kédougou","4,1%","","2,6%","3,4%"
"Sédhiou","3,3%","","3,5%","3,4%"
"Sénégal","4,2%","","4,3%","4,3%"
"Source : ANSD.RGPH-5, 2023","","","",""
