"Région","Sexe","","Ensemble"
"","Masculin","Féminin",""
"Dakar","1,8%","2,3%","2,0%"
"Ziguinchor","2,1%","2,5%","2,3%"
"Diourbel","1,1%","1,9%","1,4%"
"Saint-Louis","1,1%","2,1%","1,5%"
"Tambacounda","1,0%","1,6%","1,2%"
"Kaolack","1,0%","2,0%","1,4%"
"Thiès","1,4%","1,8%","1,5%"
"Louga","1,0%","2,0%","1,4%"
"Fatick","1,1%","1,9%","1,4%"
"Kolda","0,8%","1,0%","0,9%"
"Matam","0,7%","1,7%","1,1%"
"Kaffrine","0,8%","2,1%","1,3%"
"Kédougou","1,0%","1,2%","1,0%"
"Sédhiou","0,8%","1,6%","1,1%"
"Sénégal","1,3%","2,0%","1,6%"
