"","","","SEXE FEMININ","","","",""
"Groupes","","","","","","","Total"
"","","","","","","5ième",""
"","Monogame","1ère","2ème","3ème","4ième","",""
"d'âges","","","","","","","(%)"
"","","","","","","épouse ou",""
"","(%)","épouse (%)","épouses (%)","épouse (%)","épouse (%)","",""
"","","","","","","plus (%)",""
"60-64 ans","43,7","39,1","13,7","2,8","0,6","0,1","100"
"65-69 ans","45,6","38,3","12,7","2,7","0,6","0,1","100"
"70-74 ans","48,2","37,1","11,4","2,6","0,6","0,1","100"
"75-79 ans","50,3","36,5","10,2","2,3","0,6","0,1","100"
"80-84 ans","52,1","35,5","9,0","2,5","0,7","0,1","100"
"85-89 ans","54,5","34,5","8,5","2,0","0,4","0,1","100"
"90-94 ans","56,9","34,1","6,2","2,0","0,3","0,4","100"
"95 ans et +","54,1","33,4","9,1","2,9","0,4","0,2","100"
"TOTAL","52,6","31,2","13,7","2,1","0,4","0,0","100"
"Source : ANSD.RGPH-5, 2023","","","","","","",""
