"Région","Prévalence chez les 
hommes","Prévalence chez les 
femmes","Prévalence totale"
"Dakar","14,7","39,0","27,4"
"Ziguinchor","15,5","37,2","27,5"
"Diourbel","24,5","54,7","42,5"
"Saint-Louis","19,2","45,3","33,8"
"Tambacounda","20,7","46,5","35,4"
"Kaolack","24,9","55,4","42,6"
"Thiès","18,7","45,1","33,2"
"Louga","24,0","55,4","42,1"
"Fatick","21,0","47,5","36,4"
"Kolda","25,1","50,0","39,4"
"Matam","15,5","36,3","27,6"
"Kaffrine","29,5","60,9","47,6"
"Kédougou","25,0","55,9","41,5"
"Sedhiou","27,2","54,5","43,2"
"TOTAL","20,2","47,4","35,5"
