"SEXE","REGION","État matrimonial","","",""
"","","Mariés","Veuf/Veuve","Divorcé(e)","Total déjà 
mariés"
"Masculin","DAKAR","96,6","1,1","2,3","693 866"
"","ZIGUINCHOR","95,6","2,2","2,2","82 926"
"","DIOURBEL","97,5","1,1","1,4","292 155"
"","SAINT-LOUIS","97,5","1,0","1,4","184 995"
"","TAMBACOUNDA","98,0","1,0","1,0","147 961"
"","KAOLACK","97,7","1,0","1,3","182 612"
"","THIES","97,3","1,2","1,5","377 625"
"","LOUGA","97,8","1,2","1,1","175 351"
"","FATICK","97,6","1,3","1,1","121 446"
"","KOLDA","97,9","1,0","1,1","134 457"
"","MATAM","97,7","0,9","1,3","111 380"
"","KAFFRINE","98,3","0,9","0,8","119 680"
"","KEDOUGOU","98,1","0,9","1,0","40 867"
"","SEDHIOU","98","1,1","0,9","74 100"
"","Total","97,3","1,1","1,5","2 739 421"
"Féminin","DAKAR","84,6","9,6","5,8","873 290"
"","ZIGUINCHOR","81,9","14,9","3,2","118 399"
"","DIOURBEL","89,1","8,8","2,1","470 361"
"","SAINT-LOUIS","87,2","9,6","3,2","262 390"
"","TAMBACOUNDA","91,0","7,2","1,8","209 910"
"","KAOLACK","87,9","9,8","2,2","282 296"
"","THIES","87,6","9,5","2,9","516 772"
"","LOUGA","89,1","9,0","1,9","262 669"
"","FATICK","88,3","10,1","1,6","187 512"
"","KOLDA","90,6","7,7","1,7","196 237"
"","MATAM","86,6","9,8","3,6","174 565"
"","KAFFRINE","90,4","8,2","1,4","176 560"
"","KEDOUGOU","91,3","7,0","1,6","50 731"
"","SEDHIOU","88,8","9,9","1,2","115 663"
"","Total","87,6","9,3","3,1","3 897 356"
"Ensemble","DAKAR","89,9","5,8","4,3","1 567 156"
"","ZIGUINCHOR","87,5","9,7","2,8","201 325"
"","DIOURBEL","92,3","5,9","1,8","762 516"
"","SAINT-LOUIS","91,5","6","2,5","447 385"
"","TAMBACOUNDA","93,9","4,6","1,4","357 871"
"","KAOLACK","91,8","6,4","1,9","464 908"
"","THIES","91,7","6,0","2,3","894 398"
"","LOUGA","92,6","5,8","1,6","438 020"
"","FATICK","91,9","6,6","1,4","308 958"
"","KOLDA","93,6","5,0","1,4","330 693"
"","MATAM","90,9","6,4","2,7","285 946"
"","KAFFRINE","93,6","5,3","1,1","296 240"
"","KEDOUGOU","94,4","4,3","1,3","91 599"
"","SEDHIOU","92,4","6,5","1,1","189 763"
"","Total","91,6","6,0","2,5","6 636 777"
