"Sexe","Niveau d’instruction","État matrimonial","","",""
"","","Mariés","Veuf/Veuve","Divorcé(e)  Total déjà mariés",""
"Masculin","Sans Instruction","97,6","1,3","1,2","1 698 878"
"","Préscolaire","98,6","0,6","0,8","30 930"
"","Primaire","96,7","0,9","2,4","399 066"
"","Moyen","96,7","1","2,4","231 152"
"","Secondaire","97,1","0,9","2","186 355"
"","Supérieur","97,6","0,7","1,7","193 041"
"","Total","97,3","1,1","1,5","2 739 421"
"Féminin","Sans Instruction","86,1","11,7","2,2","2 626 864"
"","Préscolaire","94,9","3,5","1,6","41 512"
"","Primaire","89,4","5,6","5,1","570 161"
"","Moyen","90,8","4,1","5,1","339 606"
"","Secondaire","91,4","3,5","5,2","188 915"
"","Supérieur","92,1","2,6","5,3","130 299"
"","Total","87,6","9,3","3,1","3 897 356"
"Ensemble","Sans Instruction","90,6","7,6","1,8","4 325 742"
"","Préscolaire","96,5","2,3","1,3","72 441"
"","Primaire","92,4","3,6","4","969 227"
"","Moyen","93,2","2,8","4","570 758"
"","Secondaire","94,2","2,2","3,6","375 270"
"","Supérieur","95,4","1,5","3,1","323 340"
"","Total","91,6","6,0","2,5","6 636 777"
