"SEXE","SITUATION DANS 
L’OCCUPATION 
PRINCIPALE","ETAT  MATRIMONIAL","","",""
"","","Mariés","Veuf/Veuve","Divorcé(e)","Total déjà mariés"
"Masculin","Travailleur 
indépendant","98","0,6","1,5","1 126 904"
"","Employeur/Patron","97,6","0,5","1,9","88 501"
"","Salarié/Employé 
permanent","97,8","0,4","1,8","228 276"
"","Salarié/Employé 
temporaire","96,9","0,6","2,5","59 439"
"","Apprenti","96,8","0,7","2,5","21 365"
"","Aide familial","98","0,8","1,2","92 953"
"","Total","97,9","0,6","1,6","1617438"
"Féminin","Travailleur 
indépendant","87","7,8","5,1","520 193"
"","Employeur/Patron","85,1","4,1","10,8","28 497"
"","Salarié/Employé 
permanent","87,2","3,1","9,6","103 765"
"","Salarié/Employé 
temporaire","82,9","4,2","12,9","29 679"
"","Apprenti","90,6","2,5","6,9","9 861"
"","Aide familial","88,7","8,2","3,1","77 701"
"","Total","87","6,9","6,1","769 697"
"Ensemble","Travailleur 
indépendant","94,5","2,9","2,6","1 647 097"
"","Employeur/Patron","94,5","1,4","4,1","116 998"
"","Salarié/Employé 
permanent","94,5","1,3","4,3","332 041"
"","Salarié/Employé 
temporaire","92,3","1,8","5,9","89 118"
"","Apprenti","94,8","1,3","3,9","31 227"
"","Aide familial","93,8","4,2","2,1","170 654"
"","Total","94,4","2,6","3","2 387 134"
