"Région","DECLARATION A L'ETAT CIVIL","","","","","","",""
"","Non","","Oui","","NSP","","Total",""
"","Effectif","%","Effectif","%","Effectif","%","Effectif","%"
"DAKAR","212 111","28,67","369 348","49,92","158 468","21,42","739 926","100,00"
"ZIGUINCHOR","57 508","59,17","25 071","25,80","14 604","15,03","97 183","100,00"
"DIOURBEL","233 880","55,64","38 778","9,23","147 685","35,13","420 343","100,00"
"SAINT-LOUIS","121 740","53,11","49 058","21,40","58 430","25,49","229 229","100,00"
"TAMBACOUNDA","116 504","60,85","16 956","8,86","57 996","30,29","191 456","100,00"
"KAOLACK","147 458","59,26","36 413","14,63","64 978","26,11","248 849","100,00"
"THIES","220 506","48,64","119 754","26,42","113 075","24,94","453 335","100,00"
"LOUGA","141 191","60,16","25 671","10,94","67 841","28,91","234 703","100,00"
"FATICK","104 053","62,67","24 344","14,66","37 638","22,67","166 035","100,00"
"KOLDA","128 652","72,07","13 883","7,78","35 986","20,16","178 521","100,00"
"MATAM","90 786","59,87","16 458","10,85","44 390","29,27","151 634","100,00"
"KAFFRINE","106 970","66,76","10 197","6,36","43 056","26,87","160 223","100,00"
"KEDOUGOU","29 634","63,79","5 596","12,04","11 229","24,17","46 459","100,00"
"SEDHIOU","71 005","68,96","8 547","8,30","23 410","22,74","102 963","100,00"
"Total","1781 999","52,09","760 074","22,22","878  786","25,69","3420 858","100,00"
"Milieu de résidence","","","","","","","",""
"Urbain","739 944","40,45","635 630","34,74","453 922","24,81","1829 495","100,00"
"Rural","1042 055","65,48","124 444","7,82","424 863","26,70","1591 362","100,00"
"Total","1781 999","52,09","760 074","22,22","878 786","25,69","3420 858","100,00"
