"Tableau VII-18: Déclaration des mariages à l’état civil selon le niveau d’instruction et alphabétisation de la","","","",""
"femme (en %)","","","",""
"","Déclaration à l'état civil","","","Effectifs"
"Niveau d'instruction","","","",""
"","Non","","Oui  NSP",""
"Aucun","","57,5  13,7","28,9","2 262 582"
"Préscolaire","","57,5  14,3","28,2","39 391"
"Elémentaire","","48,7  30,4","20,9","509 526"
"Moyen","","43,9  36,7","19,4","308 321"
"Secondaire","","30  52,7","17,2","172 615"
"Supérieur","","15,8  71,7","12,5","119 980"
"Alphabétisation","Non","","Oui  NSP  Effectifs",""
"Non","","56,4  16,6","27","1 613 239"
"Oui","","48,3  27,3","24,4","1 799 177"
"Source : ANSD.RGPH-5, 2023","","","",""
