"","Principaux indicateurs","",""
"Intitulé de l'indicateur","","Niveau de l'indicateur",""
"État matrimonial et nuptialité","","",""
"","Urbain","Rural","National"
"Proportion de célibataires homme et femme (%)","47,6","42,5","45,4"
"Proportion de célibataires hommes (%)","55,1","52,8","54,1"
"Proportion de célibataires femmes (%)","40,6","32,4","37,1"
"Proportion de femmes de 12 ans ou plus en union (%)","50,6","60,5","54,8"
"Proportion d’homme de 12 ans ou plus en union (%)","43,4","46,1","44,6"
"Âge moyen (années) au premier mariage (Hommes)","31,1","28,3","30,0"
"Âge moyen (années) au premier mariage (Femmes)","24,7","20,9","23,1"
"Âge médian (années) au mariage (Hommes)","","","29,7"
"Âge médian (années) au mariage (Femmes)","","","22,0"
"Nombre moyen d’épouses par homme marié","1,2","1,3","1,3"
"Nombre moyen d’épouses par homme polygame","2,3","2,2","2,2"
"Pourcentage d’hommes polygames","18,4","23,5","20,7"
"Proportion de célibataires dans la population des 50 ans et plus  (%)","","",""
"Hommes","5,1","3,1","4,2"
"Femmes","4,9","3,6","4,3"
"National","5,0","3,3","4,3"
"Proportion de célibataires définitifs dans la population des célibataires (%)","","",""
"Hommes","1,5","0,9","1,3"
"Femmes","2,0","1,8","2,0"
"National","1,8","1,3","1,6"
"Nombre d'hommes mariés","1 475 876","1 190 727","2 666 602"
"Nombre de femmes mariées","1 812 432","1 599 984","3 412 416"
"Proportion de la population en rupture d'union (%)","","",""
"Hommes","3,2","2,0","2,7"
"Femmes","14,5","9,9","12,4"
"National","9,8","6,7","8,5"
"Proportion de mariages non déclarés à l'Etat Civil (%)","40,5","65,5","52,1"
