"Région/ 
Milieu de  
résidence","Type de logement","","","","","","Total"
"","Autre","Case","Baraque","Maison basse","Maison à  
étage","Immeuble à 
appartement",""
"Dakar","1,5","1,1","1,1","37,2","54,5","4,6","100,0"
"Ziguinchor","0,3","1,5","1,2","89,5","7,5","0,0","100,0"
"Diourbel","0,1","12,1","2,2","76,9","8,7","0,0","100,0"
"Saint-Louis","0,3","16,6","1,5","71,7","9,9","0,0","100,0"
"Tambacounda","0,2","40,6","1,8","53,8","3,6","0,0","100,0"
"Kaolack","0,3","8,3","2,2","83,3","5,8","0,0","100,0"
"Thiès","0,2","3,8","1,4","79,4","15,2","0,0","100,0"
"Louga","0,2","23,2","1,4","70,1","5,1","0,0","100,0"
"Fatick","0,1","11,9","0,9","84,7","2,4","0,0","100,0"
"Kolda","0,3","30,8","1,2","65,0","2,6","0,0","100,0"
"Matam","0,4","26,8","2,6","67,0","3,2","0,0","100,0"
"Kaffrine","0,1","39,5","1,2","58,1","1,1","0,0","100,0"
"Kédougou","1,0","53,0","1,2","42,9","2,0","0,0","100,0"
"Sédhiou","0,3","4,8","1,4","91,6","1,9","0,0","100,0"
"Urbain","0,9","2,5","1,4","59,1","33,9","2,3","100,0"
"Rural","0,2","27,6","1,6","69,0","1,5","0,0","100,0"
"Sénégal","0,6","11,8","1,5","62,8","21,9","1,4","100,0"
