"Région/ 
Milieu de 
résidence","Indice de peuplement du logement","","","","","","Total"
"","Sous-
peuplé","Normalement peuplé","","Surpeuplé","","",""
"","Moins 
d’une 
personne","Une 
personne","Deux 
personnes","Trois 
personnes","Quatre 
personnes","Plus de 
quatre 
personnes",""
"Dakar","11,2","25,5","31,4","17,3","7,9","6,8","100,0"
"Ziguinchor","17,4","27,9","31,9","13,9","5,0","3,9","100,0"
"Diourbel","8,8","16,2","35,0","23,3","9,2","7,5","100,0"
"Saint-Louis","7,6","16,3","32,0","22,1","10,9","11,1","100,0"
"Tambacounda","5,3","14,0","32,5","27,0","11,9","9,3","100,0"
"Kaolack","6,4","14,6","32,5","25,2","11,3","10,0","100,0"
"Thiès","9,5","19,4","34,5","21,3","8,7","6,6","100,0"
"Louga","6,5","16,5","36,8","23,3","9,4","7,6","100,0"
"Fatick","6,5","16,2","34,2","24,4","10,4","8,3","100,0"
"Kolda","4,0","13,6","38,2","26,1","10,5","7,6","100,0"
"Matam","5,5","12,6","28,0","23,9","13,8","16,2","100,0"
"Kaffrine","3,5","10,8","33,5","30,1","12,8","9,3","100,0"
"Kédougou","9,3","22,0","32,6","20,0","8,7","7,3","100,0"
"Sédhiou","6,9","18,0","39,3","21,4","7,5","6,8","100,0"
"Urbain","10,7","23,4","33,0","18,5","7,9","6,5","100,0"
"Rural","5,8","13,0","33,5","26,0","11,6","10,1","100,0"
"Sénégal","8,8","19,5","33,2","21,3","9,3","7,8","100,0"
