"Région/ 
Milieu de  
résidence","STATUT D'OCCUPATION DU LOGEMENT","","","","","","","","Total"
"","Propriétaire","Co 
propriétaire","Locataire","Co 
locataire","Location-
vente","Logé 
par 
employeur","Logé 
par  
parents/amis","Autre",""
"Dakar","38,8","3,6","47,2","6,4","0,5","1,2","1,5","0,8","100,0"
"Ziguinchor","59,3","6,3","24,7","2,8","0,5","0,9","3,6","1,9","100,0"
"Diourbel","88,1","5,0","3,1","0,8","0,4","0,4","0,9","1,3","100,0"
"Saint-Louis","80,0","5,7","7,2","1,8","0,2","0,6","1,7","2,8","100,0"
"Tambacounda","79,3","4,6","9,8","1,9","0,3","0,7","1,4","2,0","100,0"
"Kaolack","79,7","7,1","7,6","1,9","0,2","0,6","1,4","1,4","100,0"
"Thiès","73,1","6,4","12,8","2,9","0,3","1,4","1,5","1,7","100,0"
"Louga","87,3","5,6","2,4","0,7","0,1","0,4","0,9","2,6","100,0"
"Fatick","82,9","6,9","5,4","1,3","0,2","0,6","1,1","1,4","100,0"
"Kolda","82,9","4,3","7,6","1,1","0,2","0,4","1,5","2,0","100,0"
"Matam","85,9","5,1","4,0","1,0","0,1","0,5","1,4","2,0","100,0"
"Kaffrine","87,2","5,9","2,8","1,0","0,1","0,3","1,5","1,3","100,0"
"Kédougou","82,1","3,6","9,2","1,5","0,9","0,7","1,0","0,9","100,0"
"Sédhiou","82,0","6,6","6,2","1,3","0,4","0,4","1,3","1,9","100,0"
"Urbain","55,0","4,6","31,2","4,8","0,5","1,1","1,7","1,1","100,0"
"Rural","88,4","6,0","1,5","0,4","0,1","0,4","1,0","2,2","100,0"
"Sénégal","67,4","5,1","20,2","3,1","0,4","0,8","1,5","1,5","100,0"
